"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:19:27.916,1 Jun 2023 10:23:25.350,237.434
2,1 Jun 2023 11:54:05.435,1 Jun 2023 11:58:09.631,244.196
3,1 Jun 2023 13:28:15.874,1 Jun 2023 13:31:10.548,174.674
4,2 Jun 2023 07:21:08.441,2 Jun 2023 07:22:41.161,92.720
5,2 Jun 2023 08:53:03.693,2 Jun 2023 08:57:27.317,263.624
6,2 Jun 2023 10:28:02.579,2 Jun 2023 10:31:51.446,228.867
7,2 Jun 2023 12:02:16.876,2 Jun 2023 12:06:26.706,249.830
8,2 Jun 2023 13:37:17.576,2 Jun 2023 13:38:41.391,83.814
9,3 Jun 2023 07:27:25.105,3 Jun 2023 07:31:26.420,241.315
10,3 Jun 2023 09:01:30.750,3 Jun 2023 09:05:41.637,250.886
11,3 Jun 2023 10:36:24.610,3 Jun 2023 10:40:20.527,235.917
12,3 Jun 2023 12:10:29.417,3 Jun 2023 12:14:17.733,228.316
13,4 Jun 2023 07:35:24.550,4 Jun 2023 07:39:47.577,263.028
14,4 Jun 2023 09:10:07.190,4 Jun 2023 09:14:01.716,234.526
15,4 Jun 2023 10:44:39.940,4 Jun 2023 10:48:45.420,245.479
16,4 Jun 2023 12:18:54.125,4 Jun 2023 12:21:39.065,164.940
17,5 Jun 2023 06:11:25.677,5 Jun 2023 06:13:25.710,120.033
18,5 Jun 2023 07:43:39.483,5 Jun 2023 07:48:01.751,262.268
19,5 Jun 2023 09:18:39.314,5 Jun 2023 09:22:28.911,229.597
20,5 Jun 2023 10:52:50.806,5 Jun 2023 10:56:59.669,248.862
21,5 Jun 2023 12:28:26.602,5 Jun 2023 12:28:48.596,21.995
22,6 Jun 2023 06:17:53.987,6 Jun 2023 06:22:03.505,249.517
23,6 Jun 2023 07:52:09.131,6 Jun 2023 07:56:16.775,247.643
24,6 Jun 2023 09:26:59.829,6 Jun 2023 09:30:57.621,237.792
25,6 Jun 2023 11:01:04.673,6 Jun 2023 11:04:39.429,214.756
26,7 Jun 2023 06:25:58.514,7 Jun 2023 06:30:22.442,263.928
27,7 Jun 2023 08:00:45.994,7 Jun 2023 08:04:38.381,232.387
28,7 Jun 2023 09:35:14.395,7 Jun 2023 09:39:20.946,246.550
29,7 Jun 2023 11:09:33.873,7 Jun 2023 11:12:04.776,150.903
30,8 Jun 2023 05:01:20.949,8 Jun 2023 05:04:08.198,167.249
31,8 Jun 2023 06:34:16.004,8 Jun 2023 06:38:36.220,260.216
32,8 Jun 2023 08:09:15.761,8 Jun 2023 08:13:06.474,230.712
33,8 Jun 2023 09:43:24.925,8 Jun 2023 09:47:31.555,246.630

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 11:06:56.497,1 Jun 2023 11:10:47.303,230.806
2,1 Jun 2023 12:41:05.517,1 Jun 2023 12:45:11.925,246.408
3,2 Jun 2023 08:06:05.326,2 Jun 2023 08:10:20.633,255.307
4,2 Jun 2023 09:40:28.782,2 Jun 2023 09:44:32.863,244.081
5,2 Jun 2023 11:15:15.442,2 Jun 2023 11:19:15.675,240.234
6,2 Jun 2023 12:49:21.193,2 Jun 2023 12:52:42.876,201.683
7,3 Jun 2023 08:14:14.177,3 Jun 2023 08:18:37.728,263.552
8,3 Jun 2023 09:49:05.599,3 Jun 2023 09:52:56.110,230.511
9,3 Jun 2023 11:23:28.824,3 Jun 2023 11:27:37.024,248.200
10,3 Jun 2023 12:57:57.125,3 Jun 2023 13:00:13.732,136.607
11,4 Jun 2023 06:48:59.435,4 Jun 2023 06:52:29.418,209.983
12,4 Jun 2023 08:22:33.996,4 Jun 2023 08:26:51.399,257.403
13,4 Jun 2023 09:57:32.617,4 Jun 2023 10:01:24.900,232.283
14,4 Jun 2023 11:31:39.602,4 Jun 2023 11:35:42.728,243.126
15,5 Jun 2023 06:56:37.438,5 Jun 2023 07:00:56.453,259.014
16,5 Jun 2023 08:31:07.774,5 Jun 2023 08:35:08.582,240.808
17,5 Jun 2023 10:05:50.207,5 Jun 2023 10:09:52.529,242.322
18,5 Jun 2023 11:39:57.726,5 Jun 2023 11:43:01.758,184.032
19,6 Jun 2023 05:33:15.327,6 Jun 2023 05:34:09.413,54.086
20,6 Jun 2023 07:04:48.118,6 Jun 2023 07:09:12.258,264.140
21,6 Jun 2023 08:39:44.088,6 Jun 2023 08:43:33.284,229.196
22,6 Jun 2023 10:14:02.528,6 Jun 2023 10:18:12.055,249.527
23,6 Jun 2023 11:48:43.690,6 Jun 2023 11:50:39.837,116.147
24,7 Jun 2023 05:39:19.411,7 Jun 2023 05:43:08.016,228.606
25,7 Jun 2023 07:13:11.782,7 Jun 2023 07:17:26.100,254.318
26,7 Jun 2023 08:48:08.426,7 Jun 2023 08:52:02.398,233.972
27,7 Jun 2023 10:22:14.001,7 Jun 2023 10:26:11.636,237.635
28,8 Jun 2023 05:47:11.008,8 Jun 2023 05:51:31.848,260.840
29,8 Jun 2023 07:21:46.972,8 Jun 2023 07:25:44.619,237.647
30,8 Jun 2023 08:56:24.822,8 Jun 2023 09:00:28.908,244.085

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 14:46:51.517,1 Jun 2023 14:51:15.025,263.508
2,1 Jun 2023 16:21:38.284,1 Jun 2023 16:25:28.390,230.106
3,1 Jun 2023 17:56:08.576,1 Jun 2023 18:00:13.407,244.832
4,1 Jun 2023 19:30:22.421,1 Jun 2023 19:33:05.644,163.222
5,2 Jun 2023 13:22:35.601,2 Jun 2023 13:24:59.136,143.535
6,2 Jun 2023 14:55:09.014,2 Jun 2023 14:59:29.346,260.332
7,2 Jun 2023 16:30:10.358,2 Jun 2023 16:33:57.403,227.046
8,2 Jun 2023 18:04:20.132,2 Jun 2023 18:08:28.319,248.187
9,3 Jun 2023 13:29:21.513,3 Jun 2023 13:33:34.254,252.741
10,3 Jun 2023 15:03:41.429,3 Jun 2023 15:07:45.147,243.718
11,3 Jun 2023 16:38:31.220,3 Jun 2023 16:42:27.645,236.425
12,3 Jun 2023 18:12:34.756,3 Jun 2023 18:16:08.040,213.285
13,4 Jun 2023 13:37:29.212,4 Jun 2023 13:41:52.787,263.575
14,4 Jun 2023 15:12:20.338,4 Jun 2023 15:16:08.277,227.940
15,4 Jun 2023 16:46:46.016,4 Jun 2023 16:50:52.028,246.012
16,4 Jun 2023 18:21:05.407,4 Jun 2023 18:23:34.864,149.457
17,5 Jun 2023 12:12:29.762,5 Jun 2023 12:15:43.365,193.602
18,5 Jun 2023 13:45:49.028,5 Jun 2023 13:50:06.835,257.807
19,5 Jun 2023 15:20:49.806,5 Jun 2023 15:24:38.145,228.339
20,5 Jun 2023 16:54:57.275,5 Jun 2023 16:59:03.193,245.919
21,6 Jun 2023 12:19:56.152,6 Jun 2023 12:24:13.368,257.216
22,6 Jun 2023 13:54:23.502,6 Jun 2023 13:58:23.694,240.192
23,6 Jun 2023 15:29:09.140,6 Jun 2023 15:33:08.016,238.876
24,6 Jun 2023 17:03:13.642,6 Jun 2023 17:06:34.592,200.950
25,7 Jun 2023 12:28:06.828,7 Jun 2023 12:32:30.381,263.553
26,7 Jun 2023 14:03:02.260,7 Jun 2023 14:06:48.439,226.179
27,7 Jun 2023 15:37:23.290,7 Jun 2023 15:41:30.552,247.262
28,7 Jun 2023 17:11:50.711,7 Jun 2023 17:14:06.741,136.030

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
