"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 03:11:43.542,2 Aug 2023 03:14:05.704,142.162
2,2 Aug 2023 04:45:40.512,2 Aug 2023 04:51:10.947,330.435
3,2 Aug 2023 06:22:38.851,2 Aug 2023 06:27:47.770,308.918
4,2 Aug 2023 07:59:18.754,2 Aug 2023 08:04:36.355,317.601
5,2 Aug 2023 09:36:03.373,2 Aug 2023 09:39:19.595,196.222
6,3 Aug 2023 03:51:38.157,3 Aug 2023 03:57:02.967,324.810
7,3 Aug 2023 05:28:17.465,3 Aug 2023 05:33:33.308,315.843
8,3 Aug 2023 07:05:12.579,3 Aug 2023 07:10:26.716,314.137
9,3 Aug 2023 08:41:38.969,3 Aug 2023 08:45:55.206,256.237
10,4 Aug 2023 02:57:51.021,4 Aug 2023 03:02:49.219,298.198
11,4 Aug 2023 04:33:57.283,4 Aug 2023 04:39:22.821,325.538
12,4 Aug 2023 06:11:02.432,4 Aug 2023 06:16:11.189,308.757
13,4 Aug 2023 07:47:28.173,4 Aug 2023 07:52:33.426,305.253
14,5 Aug 2023 02:05:19.379,5 Aug 2023 02:08:20.400,181.021
15,5 Aug 2023 03:39:44.414,5 Aug 2023 03:45:15.279,330.865
16,5 Aug 2023 05:16:46.145,5 Aug 2023 05:21:54.292,308.147
17,5 Aug 2023 06:53:22.593,5 Aug 2023 06:58:40.115,317.523
18,5 Aug 2023 08:30:16.102,5 Aug 2023 08:33:15.011,178.909
19,6 Aug 2023 02:45:40.967,6 Aug 2023 02:51:07.804,326.837
20,6 Aug 2023 04:22:25.150,6 Aug 2023 04:27:39.010,313.860
21,6 Aug 2023 05:59:16.971,6 Aug 2023 06:04:32.073,315.102
22,6 Aug 2023 07:35:45.667,6 Aug 2023 07:39:44.673,239.006
23,7 Aug 2023 01:51:48.129,7 Aug 2023 01:56:56.014,307.885
24,7 Aug 2023 03:28:04.281,7 Aug 2023 03:33:27.627,323.347
25,7 Aug 2023 05:05:07.982,7 Aug 2023 05:10:17.803,309.821
26,7 Aug 2023 06:41:32.713,7 Aug 2023 06:46:31.225,298.511
27,8 Aug 2023 00:58:43.006,8 Aug 2023 01:02:32.383,229.377
28,8 Aug 2023 02:33:49.078,8 Aug 2023 02:39:19.615,330.538
29,8 Aug 2023 04:10:53.197,8 Aug 2023 04:16:00.897,307.700
30,8 Aug 2023 05:47:26.429,8 Aug 2023 05:52:43.007,316.578
31,8 Aug 2023 07:24:32.686,8 Aug 2023 07:27:07.530,154.844

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 03:57:41.313,2 Aug 2023 04:02:54.315,313.002
2,2 Aug 2023 05:34:03.303,2 Aug 2023 05:39:25.040,321.738
3,2 Aug 2023 07:11:05.621,2 Aug 2023 07:16:16.342,310.721
4,2 Aug 2023 08:47:30.024,2 Aug 2023 08:52:22.465,292.441
5,3 Aug 2023 03:04:21.802,3 Aug 2023 03:08:33.427,251.625
6,3 Aug 2023 04:39:46.678,3 Aug 2023 04:45:16.624,329.946
7,3 Aug 2023 06:16:51.892,3 Aug 2023 06:21:59.477,307.586
8,3 Aug 2023 07:53:23.098,3 Aug 2023 07:58:38.411,315.312
9,3 Aug 2023 09:30:42.732,3 Aug 2023 09:32:54.029,131.296
10,4 Aug 2023 02:12:19.652,4 Aug 2023 02:13:37.446,77.793
11,4 Aug 2023 03:45:39.850,4 Aug 2023 03:51:09.519,329.669
12,4 Aug 2023 05:22:32.128,4 Aug 2023 05:27:43.109,310.980
13,4 Aug 2023 06:59:18.005,4 Aug 2023 07:04:34.397,316.392
14,4 Aug 2023 08:35:52.698,4 Aug 2023 08:39:32.417,219.719
15,5 Aug 2023 02:51:41.483,5 Aug 2023 02:57:00.112,318.629
16,5 Aug 2023 04:28:10.742,5 Aug 2023 04:33:30.166,319.424
17,5 Aug 2023 06:05:10.660,5 Aug 2023 06:10:22.712,312.052
18,5 Aug 2023 07:41:35.155,5 Aug 2023 07:46:16.174,281.019
19,6 Aug 2023 01:58:08.475,6 Aug 2023 02:02:42.379,273.903
20,6 Aug 2023 03:33:52.421,6 Aug 2023 03:39:21.063,328.642
21,6 Aug 2023 05:10:58.360,6 Aug 2023 05:16:06.118,307.758
22,6 Aug 2023 06:47:27.075,6 Aug 2023 06:52:39.682,312.608
23,6 Aug 2023 08:25:12.672,6 Aug 2023 08:26:36.251,83.579
24,7 Aug 2023 01:06:02.130,7 Aug 2023 01:07:59.948,117.818
25,7 Aug 2023 02:39:44.077,7 Aug 2023 02:45:13.947,329.869
26,7 Aug 2023 04:16:39.711,7 Aug 2023 04:21:49.351,309.640
27,7 Aug 2023 05:53:22.025,7 Aug 2023 05:58:39.315,317.290
28,7 Aug 2023 07:30:01.983,7 Aug 2023 07:33:27.393,205.410
29,8 Aug 2023 01:45:42.627,8 Aug 2023 01:51:05.478,322.850
30,8 Aug 2023 03:22:18.222,8 Aug 2023 03:27:35.507,317.284
31,8 Aug 2023 04:59:15.433,8 Aug 2023 05:04:28.767,313.334
32,8 Aug 2023 06:35:40.768,8 Aug 2023 06:40:06.770,266.002

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 10:14:08.800,1 Aug 2023 10:19:21.801,313.001
2,1 Aug 2023 11:50:30.846,1 Aug 2023 11:55:51.337,320.491
3,1 Aug 2023 13:27:34.354,1 Aug 2023 13:32:42.820,308.467
4,1 Aug 2023 15:03:57.425,1 Aug 2023 15:08:53.096,295.671
5,2 Aug 2023 09:20:51.378,2 Aug 2023 09:25:02.034,250.656
6,2 Aug 2023 10:56:14.993,2 Aug 2023 11:01:44.340,329.347
7,2 Aug 2023 12:33:21.479,2 Aug 2023 12:38:26.636,305.157
8,2 Aug 2023 14:09:52.308,2 Aug 2023 14:15:07.935,315.627
9,2 Aug 2023 15:47:03.260,2 Aug 2023 15:49:27.995,144.735
10,3 Aug 2023 08:28:50.304,3 Aug 2023 08:30:06.283,75.980
11,3 Aug 2023 10:02:09.174,3 Aug 2023 10:07:38.665,329.491
12,3 Aug 2023 11:39:02.215,3 Aug 2023 11:44:11.172,308.956
13,3 Aug 2023 13:15:48.591,3 Aug 2023 13:21:03.872,315.281
14,3 Aug 2023 14:52:20.503,3 Aug 2023 14:56:04.903,224.400
15,4 Aug 2023 09:08:12.030,4 Aug 2023 09:13:30.574,318.544
16,4 Aug 2023 10:44:41.351,4 Aug 2023 10:49:59.433,318.082
17,4 Aug 2023 12:21:42.448,4 Aug 2023 12:26:52.387,309.939
18,4 Aug 2023 13:58:05.380,4 Aug 2023 14:02:51.057,285.677
19,5 Aug 2023 08:14:40.959,5 Aug 2023 08:19:13.959,272.999
20,5 Aug 2023 09:50:23.791,5 Aug 2023 09:55:51.739,327.948
21,5 Aug 2023 11:27:30.965,5 Aug 2023 11:32:36.383,305.417
22,5 Aug 2023 13:03:59.197,5 Aug 2023 13:09:12.670,313.473
23,5 Aug 2023 14:41:32.442,5 Aug 2023 14:43:17.221,104.779
24,6 Aug 2023 07:22:36.340,6 Aug 2023 07:24:32.065,115.725
25,6 Aug 2023 08:56:16.431,6 Aug 2023 09:01:46.062,329.631
26,6 Aug 2023 10:33:12.924,6 Aug 2023 10:38:20.422,307.498
27,6 Aug 2023 12:09:55.590,6 Aug 2023 12:15:11.789,316.199
28,6 Aug 2023 13:46:32.191,6 Aug 2023 13:50:03.514,211.323
29,7 Aug 2023 08:02:16.192,7 Aug 2023 08:07:38.925,322.734
30,7 Aug 2023 09:38:51.924,7 Aug 2023 09:44:07.745,315.821
31,7 Aug 2023 11:15:50.267,7 Aug 2023 11:21:01.664,311.397
32,7 Aug 2023 12:52:13.760,7 Aug 2023 12:56:45.697,271.937
33,8 Aug 2023 07:08:35.896,8 Aug 2023 07:13:24.761,288.865
34,8 Aug 2023 08:44:33.119,8 Aug 2023 08:49:59.246,326.126

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 11:02:07.786,1 Aug 2023 11:07:37.899,330.113
2,1 Aug 2023 12:39:07.148,1 Aug 2023 12:44:13.779,306.631
