"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:19:27.799,1 Jun 2023 10:23:01.837,214.038
2,1 Jun 2023 11:53:10.494,1 Jun 2023 11:56:55.375,224.881
3,1 Jun 2023 13:26:26.636,1 Jun 2023 13:29:04.918,158.281
4,2 Jun 2023 08:40:22.695,2 Jun 2023 08:44:28.070,245.375
5,2 Jun 2023 10:14:25.101,2 Jun 2023 10:17:51.707,206.606
6,2 Jun 2023 11:47:52.522,2 Jun 2023 11:51:41.707,229.185
7,2 Jun 2023 13:21:28.991,2 Jun 2023 13:23:26.401,117.410
8,3 Jun 2023 07:03:45.595,3 Jun 2023 07:05:27.312,101.717
9,3 Jun 2023 08:35:07.270,3 Jun 2023 08:39:10.142,242.872
10,3 Jun 2023 10:09:16.106,3 Jun 2023 10:12:44.147,208.041
11,3 Jun 2023 11:42:32.704,3 Jun 2023 11:46:22.890,230.186
12,4 Jun 2023 06:56:56.719,4 Jun 2023 07:00:29.607,212.888
13,4 Jun 2023 08:29:59.577,4 Jun 2023 08:33:52.476,232.899
14,4 Jun 2023 10:04:03.732,4 Jun 2023 10:07:37.184,213.453
15,4 Jun 2023 11:37:14.160,4 Jun 2023 11:40:51.265,217.105
16,5 Jun 2023 06:51:21.257,5 Jun 2023 06:55:20.065,238.809
17,5 Jun 2023 08:24:56.188,5 Jun 2023 08:28:36.883,220.694
18,5 Jun 2023 09:58:48.004,5 Jun 2023 10:02:28.858,220.854
19,5 Jun 2023 11:31:59.545,5 Jun 2023 11:34:56.906,177.361
20,6 Jun 2023 06:45:59.716,6 Jun 2023 06:50:05.298,245.581
21,6 Jun 2023 08:19:54.960,6 Jun 2023 08:23:24.744,209.784
22,6 Jun 2023 09:53:30.335,6 Jun 2023 09:57:17.400,227.065
23,6 Jun 2023 11:26:52.744,6 Jun 2023 11:29:15.503,142.759
24,7 Jun 2023 05:09:57.407,7 Jun 2023 05:10:41.051,43.645
25,7 Jun 2023 06:40:42.493,7 Jun 2023 06:44:48.004,245.511
26,7 Jun 2023 08:14:49.288,7 Jun 2023 08:18:15.992,206.704
27,7 Jun 2023 09:48:11.717,7 Jun 2023 09:52:02.462,230.745
28,7 Jun 2023 11:22:10.566,7 Jun 2023 11:23:32.332,81.766
29,8 Jun 2023 05:03:19.568,8 Jun 2023 05:05:58.728,159.159
30,8 Jun 2023 06:35:30.945,8 Jun 2023 06:39:29.969,239.024
31,8 Jun 2023 08:09:38.899,8 Jun 2023 08:13:08.890,209.990
32,8 Jun 2023 09:42:52.106,8 Jun 2023 09:46:38.819,226.713

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 11:06:29.123,1 Jun 2023 11:09:58.289,209.166
2,1 Jun 2023 12:39:43.472,1 Jun 2023 12:43:31.774,228.302
3,2 Jun 2023 07:54:00.009,2 Jun 2023 07:57:43.582,223.574
4,2 Jun 2023 09:27:14.261,2 Jun 2023 09:31:03.950,229.689
5,2 Jun 2023 11:01:15.741,2 Jun 2023 11:04:51.122,215.381
6,2 Jun 2023 12:34:25.634,2 Jun 2023 12:37:53.528,207.894
7,3 Jun 2023 07:48:30.747,3 Jun 2023 07:52:32.436,241.690
8,3 Jun 2023 09:22:12.013,3 Jun 2023 09:25:49.218,217.206
9,3 Jun 2023 10:55:59.306,3 Jun 2023 10:59:42.314,223.008
10,3 Jun 2023 12:29:12.796,3 Jun 2023 12:31:57.116,164.320
11,4 Jun 2023 07:43:10.956,4 Jun 2023 07:47:16.765,245.809
12,4 Jun 2023 09:17:10.651,4 Jun 2023 09:20:38.106,207.456
13,4 Jun 2023 10:50:41.416,4 Jun 2023 10:54:29.607,228.191
14,4 Jun 2023 12:24:09.618,4 Jun 2023 12:26:20.406,130.788
15,5 Jun 2023 06:06:51.594,5 Jun 2023 06:08:07.180,75.585
16,5 Jun 2023 07:37:54.554,5 Jun 2023 07:41:59.081,244.527
17,5 Jun 2023 09:12:02.819,5 Jun 2023 09:15:30.030,207.210
18,5 Jun 2023 10:45:22.132,5 Jun 2023 10:49:13.110,230.977
19,5 Jun 2023 12:19:44.690,5 Jun 2023 12:20:27.536,42.846
20,6 Jun 2023 05:59:58.432,6 Jun 2023 06:03:14.778,196.345
21,6 Jun 2023 07:32:45.094,6 Jun 2023 07:36:41.162,236.068
22,6 Jun 2023 09:06:51.457,6 Jun 2023 09:10:23.089,211.633
23,6 Jun 2023 10:40:03.027,6 Jun 2023 10:43:46.000,222.973
24,7 Jun 2023 05:54:12.641,7 Jun 2023 05:58:07.263,234.622
25,7 Jun 2023 07:27:40.644,7 Jun 2023 07:31:24.822,224.177
26,7 Jun 2023 09:01:36.554,7 Jun 2023 09:05:15.111,218.557
27,7 Jun 2023 10:34:46.920,7 Jun 2023 10:37:57.423,190.503
28,8 Jun 2023 05:48:49.474,8 Jun 2023 05:52:53.627,244.153
29,8 Jun 2023 07:22:39.306,8 Jun 2023 07:26:11.655,212.349
30,8 Jun 2023 08:56:19.245,8 Jun 2023 09:00:05.098,225.853

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 14:44:19.052,1 Jun 2023 14:48:24.040,244.988
2,1 Jun 2023 16:18:13.793,1 Jun 2023 16:21:40.700,206.907
3,1 Jun 2023 17:51:50.996,1 Jun 2023 17:55:35.985,224.989
4,1 Jun 2023 19:25:08.432,1 Jun 2023 19:27:40.792,152.360
5,2 Jun 2023 13:08:31.344,2 Jun 2023 13:08:45.967,14.622
6,2 Jun 2023 14:39:02.447,2 Jun 2023 14:43:07.597,245.150
7,2 Jun 2023 16:13:09.891,2 Jun 2023 16:16:32.754,202.862
8,2 Jun 2023 17:46:33.607,2 Jun 2023 17:50:22.923,229.317
9,2 Jun 2023 19:20:18.476,2 Jun 2023 19:22:01.440,102.964
10,3 Jun 2023 13:01:53.656,3 Jun 2023 13:04:17.718,144.062
11,3 Jun 2023 14:33:51.155,3 Jun 2023 14:37:50.098,238.943
12,3 Jun 2023 16:08:01.370,3 Jun 2023 16:11:27.061,205.691
13,3 Jun 2023 17:41:14.505,3 Jun 2023 17:45:03.003,228.498
14,4 Jun 2023 12:55:30.149,4 Jun 2023 12:59:15.322,225.173
15,4 Jun 2023 14:28:46.450,4 Jun 2023 14:32:33.386,226.936
16,4 Jun 2023 16:02:48.934,4 Jun 2023 16:06:21.439,212.506
17,4 Jun 2023 17:35:57.196,4 Jun 2023 17:39:27.868,210.672
18,5 Jun 2023 12:50:02.659,5 Jun 2023 12:54:04.678,242.019
19,5 Jun 2023 14:23:46.154,5 Jun 2023 14:27:19.362,213.208
20,5 Jun 2023 15:57:33.170,5 Jun 2023 16:01:14.093,220.923
21,5 Jun 2023 17:30:44.584,5 Jun 2023 17:33:30.415,165.831
22,6 Jun 2023 12:44:44.166,6 Jun 2023 12:48:49.597,245.431
23,6 Jun 2023 14:18:45.928,6 Jun 2023 14:22:09.308,203.381
24,6 Jun 2023 15:52:15.839,6 Jun 2023 15:56:02.988,227.149
25,6 Jun 2023 17:25:41.119,6 Jun 2023 17:27:55.104,133.986
26,7 Jun 2023 11:08:22.571,7 Jun 2023 11:09:43.276,80.705
27,7 Jun 2023 12:39:28.966,7 Jun 2023 12:43:32.465,243.499
28,7 Jun 2023 14:13:39.099,7 Jun 2023 14:17:02.634,203.535
29,7 Jun 2023 15:46:57.794,7 Jun 2023 15:50:48.096,230.302
30,7 Jun 2023 17:21:13.259,7 Jun 2023 17:22:07.765,54.506

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 13:58:26.495,1 Jun 2023 14:01:32.368,185.873
2,1 Jun 2023 15:31:03.114,1 Jun 2023 15:34:58.986,235.871
3,1 Jun 2023 17:05:12.026,1 Jun 2023 17:08:39.272,207.246
4,1 Jun 2023 18:38:23.200,1 Jun 2023 18:42:09.199,225.999
5,2 Jun 2023 13:52:34.324,2 Jun 2023 13:56:26.766,232.442
6,2 Jun 2023 15:25:59.677,2 Jun 2023 15:29:42.841,223.164
7,2 Jun 2023 16:59:58.519,2 Jun 2023 17:03:33.273,214.754
8,2 Jun 2023 18:33:06.758,2 Jun 2023 18:36:25.889,199.130
9,3 Jun 2023 13:47:11.418,3 Jun 2023 13:51:14.461,243.044
10,3 Jun 2023 15:20:59.908,3 Jun 2023 15:24:29.866,209.958
11,3 Jun 2023 16:54:42.123,3 Jun 2023 16:58:25.268,223.144
12,3 Jun 2023 18:27:56.199,3 Jun 2023 18:30:36.425,160.226
13,4 Jun 2023 13:41:53.555,4 Jun 2023 13:45:58.659,245.104
14,4 Jun 2023 15:15:57.986,4 Jun 2023 15:19:20.916,202.930
15,4 Jun 2023 16:49:24.693,4 Jun 2023 16:53:12.898,228.205
16,4 Jun 2023 18:22:57.598,4 Jun 2023 18:24:59.443,121.845
17,5 Jun 2023 12:05:15.648,5 Jun 2023 12:07:01.266,105.617
18,5 Jun 2023 13:36:39.755,5 Jun 2023 13:40:41.273,241.518
19,5 Jun 2023 15:10:50.387,5 Jun 2023 15:14:14.830,204.443
20,5 Jun 2023 16:44:06.047,5 Jun 2023 16:47:55.990,229.942
21,6 Jun 2023 11:58:28.646,6 Jun 2023 12:02:03.506,214.860
22,6 Jun 2023 13:31:33.619,6 Jun 2023 13:35:24.146,230.527
23,6 Jun 2023 15:05:39.075,6 Jun 2023 15:09:09.399,210.325
24,6 Jun 2023 16:38:48.031,6 Jun 2023 16:42:26.844,218.813
25,7 Jun 2023 11:52:55.130,7 Jun 2023 11:56:54.544,239.414
26,7 Jun 2023 13:26:32.058,7 Jun 2023 13:30:09.185,217.127
27,7 Jun 2023 15:00:24.094,7 Jun 2023 15:04:02.511,218.417
28,7 Jun 2023 16:33:33.678,7 Jun 2023 16:36:35.529,181.851

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 20:42:57.637,1 Jun 2023 20:47:03.417,245.780
2,1 Jun 2023 22:16:54.548,1 Jun 2023 22:20:23.395,208.847
3,1 Jun 2023 23:50:28.347,1 Jun 2023 23:54:15.804,227.458
4,2 Jun 2023 01:23:52.409,2 Jun 2023 01:26:10.899,138.490
5,2 Jun 2023 19:06:49.436,2 Jun 2023 19:07:45.544,56.108
6,2 Jun 2023 20:37:40.751,2 Jun 2023 20:41:45.991,245.241
7,2 Jun 2023 22:11:48.196,2 Jun 2023 22:15:14.927,206.731
8,2 Jun 2023 23:45:09.533,2 Jun 2023 23:49:00.437,230.904
9,3 Jun 2023 01:19:14.379,3 Jun 2023 01:20:26.374,71.995
10,3 Jun 2023 19:00:00.180,3 Jun 2023 19:02:58.622,178.442
11,3 Jun 2023 20:32:29.971,3 Jun 2023 20:36:27.999,238.028
12,3 Jun 2023 22:06:37.524,3 Jun 2023 22:10:07.942,210.418
13,3 Jun 2023 23:39:50.147,3 Jun 2023 23:43:35.779,225.633
14,4 Jun 2023 18:54:01.942,4 Jun 2023 18:57:52.835,230.894
15,4 Jun 2023 20:27:24.858,4 Jun 2023 20:31:11.247,226.389
16,4 Jun 2023 22:01:23.252,4 Jun 2023 22:05:00.420,217.168
17,4 Jun 2023 23:34:33.168,4 Jun 2023 23:37:50.664,197.496
18,5 Jun 2023 18:48:37.167,5 Jun 2023 18:52:40.161,242.995
19,5 Jun 2023 20:22:23.378,5 Jun 2023 20:25:57.441,214.063
20,5 Jun 2023 21:56:06.279,5 Jun 2023 21:59:51.023,224.744
21,5 Jun 2023 23:29:22.214,5 Jun 2023 23:32:00.902,158.689
22,6 Jun 2023 18:43:18.496,6 Jun 2023 18:47:23.824,245.328
23,6 Jun 2023 20:17:20.784,6 Jun 2023 20:20:47.296,206.512
24,6 Jun 2023 21:50:48.322,6 Jun 2023 21:54:37.425,229.102
25,6 Jun 2023 23:24:24.189,6 Jun 2023 23:26:22.543,118.354
26,7 Jun 2023 17:06:42.002,7 Jun 2023 17:08:22.725,100.723
27,7 Jun 2023 18:38:02.991,7 Jun 2023 18:42:05.922,242.931
28,7 Jun 2023 20:12:11.869,7 Jun 2023 20:15:39.760,207.891
29,7 Jun 2023 21:45:28.568,7 Jun 2023 21:49:18.810,230.242

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 19:56:51.310,1 Jun 2023 20:00:14.147,202.837
2,1 Jun 2023 21:29:44.228,1 Jun 2023 21:33:39.160,234.931
3,1 Jun 2023 23:03:49.921,1 Jun 2023 23:07:22.057,212.136
4,2 Jun 2023 00:37:01.009,2 Jun 2023 00:40:42.340,221.331
5,2 Jun 2023 19:51:09.743,2 Jun 2023 19:55:05.910,236.167
6,2 Jun 2023 21:24:40.150,2 Jun 2023 21:28:23.072,222.922
7,2 Jun 2023 22:58:34.757,2 Jun 2023 23:02:13.986,219.229
8,3 Jun 2023 00:31:45.380,3 Jun 2023 00:34:52.098,186.718
9,3 Jun 2023 19:45:47.107,3 Jun 2023 19:49:51.884,244.776
10,3 Jun 2023 21:19:38.927,3 Jun 2023 21:23:10.277,211.350
11,3 Jun 2023 22:53:17.331,3 Jun 2023 22:57:03.603,226.272
12,4 Jun 2023 00:26:36.704,4 Jun 2023 00:29:07.051,150.347
13,4 Jun 2023 19:40:29.227,4 Jun 2023 19:44:34.951,245.724
14,4 Jun 2023 21:14:34.579,4 Jun 2023 21:18:01.030,206.451
15,4 Jun 2023 22:47:59.272,4 Jun 2023 22:51:49.299,230.028
16,5 Jun 2023 00:21:48.633,5 Jun 2023 00:23:26.240,97.607
17,5 Jun 2023 18:03:42.553,5 Jun 2023 18:05:41.513,118.959
18,5 Jun 2023 19:35:16.208,5 Jun 2023 19:39:16.931,240.722
19,5 Jun 2023 21:09:24.840,5 Jun 2023 21:12:53.841,209.002
20,5 Jun 2023 22:42:39.253,5 Jun 2023 22:46:27.669,228.416
21,6 Jun 2023 17:56:56.066,6 Jun 2023 18:00:39.241,223.175
22,6 Jun 2023 19:30:09.874,6 Jun 2023 19:33:59.657,229.783
23,6 Jun 2023 21:04:11.536,6 Jun 2023 21:07:46.740,215.203
24,6 Jun 2023 22:37:21.392,6 Jun 2023 22:40:49.946,208.554
25,7 Jun 2023 17:51:26.592,7 Jun 2023 17:55:28.190,241.598
26,7 Jun 2023 19:25:07.634,7 Jun 2023 19:28:44.900,217.267
27,7 Jun 2023 20:58:55.153,7 Jun 2023 21:02:38.001,222.848
28,7 Jun 2023 22:32:08.467,7 Jun 2023 22:34:53.086,164.620

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
