"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:19:18.664,1 Jun 2023 10:22:24.523,185.859
2,1 Jun 2023 11:51:13.630,1 Jun 2023 11:54:34.869,201.238
3,1 Jun 2023 13:22:41.707,1 Jun 2023 13:25:03.079,141.371
4,2 Jun 2023 08:15:03.907,2 Jun 2023 08:18:44.752,220.846
5,2 Jun 2023 09:47:03.758,2 Jun 2023 09:50:13.825,190.067
6,2 Jun 2023 11:19:04.224,2 Jun 2023 11:22:23.012,198.788
7,2 Jun 2023 12:50:29.540,2 Jun 2023 12:52:56.168,146.628
8,3 Jun 2023 07:42:55.712,3 Jun 2023 07:46:33.904,218.192
9,3 Jun 2023 09:14:49.243,3 Jun 2023 09:18:03.233,193.990
10,3 Jun 2023 10:46:54.717,3 Jun 2023 10:50:10.802,196.085
11,3 Jun 2023 12:18:18.009,3 Jun 2023 12:20:54.637,156.628
12,4 Jun 2023 07:10:48.384,4 Jun 2023 07:14:22.599,214.216
13,4 Jun 2023 08:42:34.464,4 Jun 2023 08:45:52.740,198.276
14,4 Jun 2023 10:14:45.055,4 Jun 2023 10:17:58.677,193.621
15,4 Jun 2023 11:46:07.094,4 Jun 2023 11:48:58.118,171.024
16,5 Jun 2023 06:38:42.470,5 Jun 2023 06:42:10.726,208.256
17,5 Jun 2023 08:10:20.116,5 Jun 2023 08:13:42.327,202.210
18,5 Jun 2023 09:42:35.198,5 Jun 2023 09:45:46.340,191.141
19,5 Jun 2023 11:13:56.668,5 Jun 2023 11:16:57.297,180.629
20,6 Jun 2023 06:06:38.950,6 Jun 2023 06:09:58.547,199.597
21,6 Jun 2023 07:38:06.227,6 Jun 2023 07:41:31.973,205.746
22,6 Jun 2023 09:10:25.081,6 Jun 2023 09:13:33.750,188.669
23,6 Jun 2023 10:41:46.694,6 Jun 2023 10:44:57.519,190.825
24,7 Jun 2023 05:34:39.755,7 Jun 2023 05:37:45.737,185.982
25,7 Jun 2023 07:05:52.785,7 Jun 2023 07:09:21.742,208.958
26,7 Jun 2023 08:38:14.662,7 Jun 2023 08:41:20.955,186.292
27,7 Jun 2023 10:09:37.113,7 Jun 2023 10:12:55.874,198.762
28,8 Jun 2023 05:02:59.643,8 Jun 2023 05:05:31.832,152.189
29,8 Jun 2023 06:33:39.773,8 Jun 2023 06:37:12.306,212.533
