"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:20:07.878,1 Jun 2023 10:21:25.860,77.982
2,1 Jun 2023 11:50:00.413,1 Jun 2023 11:51:51.449,111.036
3,1 Jun 2023 13:19:23.525,1 Jun 2023 13:20:33.173,69.648
4,2 Jun 2023 07:51:53.759,2 Jun 2023 07:52:36.180,42.421
5,2 Jun 2023 09:20:27.042,2 Jun 2023 09:22:32.682,125.640
6,2 Jun 2023 10:51:14.226,2 Jun 2023 10:52:34.839,80.612
7,2 Jun 2023 12:20:28.556,2 Jun 2023 12:22:22.312,113.756
8,3 Jun 2023 08:21:08.810,3 Jun 2023 08:23:41.153,152.343
9,3 Jun 2023 09:52:20.376,3 Jun 2023 09:53:34.231,73.856
10,3 Jun 2023 11:21:51.892,3 Jun 2023 11:24:02.649,130.757
11,4 Jun 2023 07:22:20.720,4 Jun 2023 07:24:56.562,155.842
12,4 Jun 2023 08:53:18.756,4 Jun 2023 08:54:39.071,80.315
13,4 Jun 2023 10:23:14.315,4 Jun 2023 10:25:02.961,108.646
14,4 Jun 2023 11:52:34.017,4 Jun 2023 11:53:52.579,78.562
15,5 Jun 2023 06:25:21.373,5 Jun 2023 06:25:44.460,23.087
16,5 Jun 2023 07:53:37.324,5 Jun 2023 07:55:45.786,128.462
17,5 Jun 2023 09:24:27.487,5 Jun 2023 09:25:46.970,79.483
18,5 Jun 2023 10:53:43.810,5 Jun 2023 10:55:42.491,118.681
19,6 Jun 2023 06:54:22.699,6 Jun 2023 06:56:54.165,151.466
20,6 Jun 2023 08:25:33.428,6 Jun 2023 08:26:47.078,73.650
21,6 Jun 2023 09:55:05.924,6 Jun 2023 09:57:15.446,129.522
22,7 Jun 2023 05:55:35.839,7 Jun 2023 05:58:09.574,153.735
23,7 Jun 2023 07:26:29.993,7 Jun 2023 07:27:52.323,82.330
24,7 Jun 2023 08:56:28.379,7 Jun 2023 08:58:13.923,105.544
25,7 Jun 2023 10:25:45.841,7 Jun 2023 10:27:09.533,83.692
26,8 Jun 2023 06:26:43.212,8 Jun 2023 06:28:59.511,136.300
27,8 Jun 2023 07:57:40.744,8 Jun 2023 07:58:58.947,78.203
28,8 Jun 2023 09:26:57.263,8 Jun 2023 09:29:00.052,122.789

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 11:05:10.913,1 Jun 2023 11:06:26.753,75.840
2,1 Jun 2023 12:34:28.352,1 Jun 2023 12:36:43.400,135.048
3,2 Jun 2023 08:35:06.792,2 Jun 2023 08:37:42.187,155.396
4,2 Jun 2023 10:06:16.155,2 Jun 2023 10:07:29.699,73.544
5,2 Jun 2023 11:35:53.407,2 Jun 2023 11:37:58.658,125.251
6,2 Jun 2023 13:05:54.409,2 Jun 2023 13:06:23.111,28.701
7,3 Jun 2023 07:36:37.092,3 Jun 2023 07:37:17.329,40.237
8,3 Jun 2023 07:37:37.953,3 Jun 2023 07:38:50.427,72.474
9,3 Jun 2023 09:06:56.275,3 Jun 2023 09:08:35.944,99.669
10,3 Jun 2023 10:37:14.866,3 Jun 2023 10:38:41.415,86.549
11,3 Jun 2023 12:06:28.093,3 Jun 2023 12:07:55.619,87.527
12,4 Jun 2023 08:07:16.605,4 Jun 2023 08:09:44.367,147.762
13,4 Jun 2023 09:38:24.094,4 Jun 2023 09:39:39.013,74.918
14,4 Jun 2023 11:07:42.720,4 Jun 2023 11:10:00.834,138.114
15,5 Jun 2023 07:08:20.433,5 Jun 2023 07:10:57.334,156.901
16,5 Jun 2023 08:39:29.028,5 Jun 2023 08:40:42.711,73.684
17,5 Jun 2023 10:09:09.336,5 Jun 2023 10:11:11.388,122.052
18,5 Jun 2023 11:38:55.760,5 Jun 2023 11:39:41.179,45.419
19,6 Jun 2023 06:10:54.409,6 Jun 2023 06:12:01.787,67.379
20,6 Jun 2023 07:40:06.012,6 Jun 2023 07:41:49.236,103.224
21,6 Jun 2023 09:10:29.637,6 Jun 2023 09:11:53.893,84.256
22,6 Jun 2023 10:39:42.118,6 Jun 2023 10:41:08.765,86.647
23,7 Jun 2023 06:40:27.820,7 Jun 2023 06:42:57.854,150.034
24,7 Jun 2023 08:11:37.252,7 Jun 2023 08:12:51.863,74.611
25,7 Jun 2023 09:40:57.639,7 Jun 2023 09:43:16.248,138.609
26,8 Jun 2023 05:41:35.294,8 Jun 2023 05:44:11.877,156.582
27,8 Jun 2023 07:12:41.357,8 Jun 2023 07:13:55.778,74.422
28,8 Jun 2023 08:42:28.055,8 Jun 2023 08:44:23.478,115.423

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 14:34:24.001,1 Jun 2023 14:36:58.651,154.649
2,1 Jun 2023 16:05:21.936,1 Jun 2023 16:06:40.430,78.494
3,1 Jun 2023 17:35:19.071,1 Jun 2023 17:37:01.167,102.096
4,1 Jun 2023 19:04:34.443,1 Jun 2023 19:05:59.600,85.156
5,2 Jun 2023 13:37:29.696,2 Jun 2023 13:37:40.995,11.298
6,2 Jun 2023 15:05:37.429,2 Jun 2023 15:07:49.032,131.603
7,2 Jun 2023 16:36:31.257,2 Jun 2023 16:37:47.286,76.030
8,2 Jun 2023 18:05:47.745,2 Jun 2023 18:07:51.405,123.660
9,3 Jun 2023 14:06:27.866,3 Jun 2023 14:08:58.409,150.542
10,3 Jun 2023 15:37:38.258,3 Jun 2023 15:38:50.119,71.860
11,3 Jun 2023 17:07:13.174,3 Jun 2023 17:09:20.064,126.890
12,4 Jun 2023 13:07:42.791,4 Jun 2023 13:10:14.726,151.935
13,4 Jun 2023 14:38:35.932,4 Jun 2023 14:39:57.099,81.167
14,4 Jun 2023 16:08:37.077,4 Jun 2023 16:10:13.367,96.290
15,4 Jun 2023 17:37:50.256,4 Jun 2023 17:39:17.661,87.404
16,5 Jun 2023 13:38:47.720,5 Jun 2023 13:41:05.695,137.976
17,5 Jun 2023 15:09:47.817,5 Jun 2023 15:11:02.402,74.585
18,5 Jun 2023 16:39:05.008,5 Jun 2023 16:41:18.492,133.484
19,6 Jun 2023 12:39:44.824,6 Jun 2023 12:42:14.815,149.991
20,6 Jun 2023 14:10:54.503,6 Jun 2023 14:12:06.284,71.782
21,6 Jun 2023 15:40:31.992,6 Jun 2023 15:42:36.310,124.318
22,6 Jun 2023 17:10:33.596,6 Jun 2023 17:10:58.721,25.126
23,7 Jun 2023 11:41:03.979,7 Jun 2023 11:42:01.436,57.456
24,7 Jun 2023 11:42:13.622,7 Jun 2023 11:43:30.232,76.610
25,7 Jun 2023 13:11:50.389,7 Jun 2023 13:13:13.795,83.406
26,7 Jun 2023 14:41:55.429,7 Jun 2023 14:43:19.998,84.568
27,7 Jun 2023 16:11:06.847,7 Jun 2023 16:12:34.381,87.534

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 15:19:17.791,1 Jun 2023 15:21:46.393,148.602
2,1 Jun 2023 16:50:26.865,1 Jun 2023 16:51:40.242,73.377
3,1 Jun 2023 18:19:48.665,1 Jun 2023 18:22:06.278,137.613
4,2 Jun 2023 14:20:24.474,2 Jun 2023 14:23:00.909,156.434
5,2 Jun 2023 15:51:32.688,2 Jun 2023 15:52:44.789,72.101
6,2 Jun 2023 17:21:20.167,2 Jun 2023 17:23:12.891,112.723
7,2 Jun 2023 18:50:52.505,2 Jun 2023 18:51:48.030,55.525
8,3 Jun 2023 13:23:00.119,3 Jun 2023 13:24:04.734,64.616
9,3 Jun 2023 14:52:09.949,3 Jun 2023 14:53:53.312,103.363
10,3 Jun 2023 16:22:35.508,3 Jun 2023 16:23:56.599,81.091
11,3 Jun 2023 17:51:48.018,3 Jun 2023 17:53:11.611,83.593
12,4 Jun 2023 13:52:32.287,4 Jun 2023 13:55:03.233,150.947
13,4 Jun 2023 15:23:43.313,4 Jun 2023 15:24:56.236,72.923
14,4 Jun 2023 16:53:09.069,4 Jun 2023 16:55:24.274,135.204
15,5 Jun 2023 12:53:43.254,5 Jun 2023 12:56:18.678,155.424
16,5 Jun 2023 14:24:48.737,5 Jun 2023 14:26:01.238,72.501
17,5 Jun 2023 15:54:37.359,5 Jun 2023 15:56:28.016,110.657
18,5 Jun 2023 17:24:00.801,5 Jun 2023 17:25:08.853,68.052
19,6 Jun 2023 11:56:20.964,6 Jun 2023 11:57:17.834,56.870
20,6 Jun 2023 13:25:08.869,6 Jun 2023 13:27:09.967,121.097
21,6 Jun 2023 14:55:52.111,6 Jun 2023 14:57:12.010,79.899
22,6 Jun 2023 16:25:06.234,6 Jun 2023 16:26:57.815,111.581
23,7 Jun 2023 12:25:47.593,7 Jun 2023 12:28:19.847,152.254
24,7 Jun 2023 13:56:59.716,7 Jun 2023 13:58:12.229,72.513
