"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Oct 2023 10:54:11.641,1 Oct 2023 10:59:34.378,322.737
1 Oct 2023 10:54:11.748,1 Oct 2023 11:02:11.285,479.537
1 Oct 2023 10:54:17.878,1 Oct 2023 11:00:38.460,380.581
1 Oct 2023 10:55:51.847,1 Oct 2023 11:03:27.673,455.826
1 Oct 2023 10:55:59.852,1 Oct 2023 11:03:54.378,474.527
1 Oct 2023 10:56:05.721,1 Oct 2023 11:04:05.272,479.551
1 Oct 2023 10:56:10.235,1 Oct 2023 11:03:37.771,447.536
1 Oct 2023 10:56:19.472,1 Oct 2023 11:03:39.485,440.013
1 Oct 2023 10:56:31.197,1 Oct 2023 11:04:41.969,490.772
1 Oct 2023 10:57:05.611,1 Oct 2023 11:01:19.676,254.066
1 Oct 2023 10:57:42.243,1 Oct 2023 11:05:01.711,439.469
1 Oct 2023 10:57:44.186,1 Oct 2023 11:01:25.738,221.552
1 Oct 2023 10:57:52.193,1 Oct 2023 11:01:25.922,213.729
1 Oct 2023 10:57:53.270,1 Oct 2023 11:01:09.275,196.004
1 Oct 2023 10:57:53.652,1 Oct 2023 11:01:07.586,193.935
1 Oct 2023 10:57:56.030,1 Oct 2023 11:01:01.806,185.776
1 Oct 2023 10:57:59.726,1 Oct 2023 11:01:09.693,189.967
1 Oct 2023 10:58:15.307,1 Oct 2023 11:01:36.206,200.899
1 Oct 2023 10:58:34.832,1 Oct 2023 11:01:42.829,187.997
1 Oct 2023 10:58:36.232,1 Oct 2023 11:06:46.619,490.387
1 Oct 2023 10:58:45.126,1 Oct 2023 11:02:23.759,218.633
1 Oct 2023 10:59:03.102,1 Oct 2023 11:07:21.196,498.095
1 Oct 2023 10:59:03.195,1 Oct 2023 11:05:21.026,377.831
1 Oct 2023 11:00:36.604,1 Oct 2023 11:08:23.065,466.461
1 Oct 2023 11:00:39.676,1 Oct 2023 11:06:55.358,375.683
1 Oct 2023 11:01:32.569,1 Oct 2023 11:09:26.900,474.331
1 Oct 2023 11:02:49.112,1 Oct 2023 11:04:58.829,129.717
1 Oct 2023 11:08:10.399,1 Oct 2023 11:16:29.373,498.974
1 Oct 2023 11:08:31.370,1 Oct 2023 11:13:44.175,312.805
1 Oct 2023 11:08:57.762,1 Oct 2023 11:16:37.396,459.633
1 Oct 2023 11:09:44.094,1 Oct 2023 11:16:36.746,412.652
1 Oct 2023 11:10:24.927,1 Oct 2023 11:13:58.017,213.090
1 Oct 2023 11:14:43.751,1 Oct 2023 11:22:03.435,439.684
1 Oct 2023 11:15:17.731,1 Oct 2023 11:22:34.673,436.942
1 Oct 2023 11:16:04.773,1 Oct 2023 11:23:23.740,438.967
1 Oct 2023 11:16:28.267,1 Oct 2023 11:19:02.751,154.485
1 Oct 2023 11:16:41.876,1 Oct 2023 11:24:20.845,458.970
1 Oct 2023 11:17:15.879,1 Oct 2023 11:23:55.438,399.559
1 Oct 2023 11:17:49.638,1 Oct 2023 11:25:14.909,445.272
1 Oct 2023 11:18:14.349,1 Oct 2023 11:20:10.455,116.106
1 Oct 2023 11:18:34.315,1 Oct 2023 11:24:33.552,359.237
