"Time (UTCG),""EIRP (dBW)"",""Rcvd. Frequency (GHz)"",""Rcvd. Iso. Power (dBW)"",""Flux Density (dBW/m^2)"",""g/T (dB/K)"",""C/No (dB*Hz)"",""Bandwidth (kHz)"",""C/N (dB)"",""Eb/No (dB)"",""BER"""
25 May 2023 01:58:39.000,9.509,2.249960,-152.964,-124.464915,9.772151,85.407039,2180000.000,-7.9775,-4.9672,2.123548e-01
25 May 2023 01:59:09.000,9.509,2.249957,-153.929,-125.429180,9.772139,84.442762,2180000.000,-8.9418,-5.9315,2.374907e-01
25 May 2023 01:59:39.000,9.509,2.249955,-154.851,-126.352097,9.772130,83.519836,2180000.000,-9.8647,-6.8544,2.603125e-01
25 May 2023 01:59:52.688,9.509,2.249954,-155.255,-126.755779,9.772127,83.116151,2180000.000,-10.2684,-7.2581,2.698687e-01
25 May 2023 14:45:01.501,9.509,2.250049,-155.257,-126.757738,9.772496,83.114562,2180000.000,-10.2700,-7.2597,2.699058e-01
25 May 2023 14:45:31.000,9.509,2.250048,-154.299,-125.799317,9.772492,84.072978,2180000.000,-9.3116,-6.3013,2.467913e-01
25 May 2023 14:46:01.000,9.509,2.250046,-153.237,-124.737332,9.772483,85.134955,2180000.000,-8.2496,-5.2393,2.195663e-01
25 May 2023 14:46:31.000,9.509,2.250044,-152.087,-123.587190,9.772473,86.285087,2180000.000,-7.0995,-4.0892,1.885657e-01
25 May 2023 14:47:01.000,9.509,2.250040,-150.866,-122.366450,9.772456,87.505811,2180000.000,-5.8788,-2.8685,1.547041e-01
25 May 2023 14:47:31.000,9.509,2.250033,-149.633,-121.133714,9.772431,88.738521,2180000.000,-4.6460,-1.6357,1.207068e-01
25 May 2023 14:48:01.000,9.509,2.250024,-148.526,-120.026976,9.772394,89.845221,2180000.000,-3.5393,-0.5290,9.165262e-02
25 May 2023 14:48:31.000,9.509,2.250010,-147.786,-119.287160,9.772342,90.584986,2180000.000,-2.7996,0.2107,7.367688e-02
25 May 2023 14:49:01.000,9.509,2.249995,-147.668,-119.168172,9.772282,90.703914,2180000.000,-2.6807,0.3296,7.092757e-02
25 May 2023 14:49:31.000,9.509,2.249980,-148.219,-119.719662,9.772227,90.152369,2180000.000,-3.2322,-0.2219,8.401791e-02
25 May 2023 14:50:01.000,9.509,2.249970,-149.233,-120.733258,9.772186,89.138732,2180000.000,-4.2458,-1.2355,1.099677e-01
25 May 2023 14:50:31.000,9.509,2.249962,-150.444,-121.944492,9.772158,87.927470,2180000.000,-5.4571,-2.4468,1.429799e-01
25 May 2023 14:51:01.000,9.509,2.249957,-151.679,-123.179790,9.772140,86.692154,2180000.000,-6.6924,-3.6821,1.773346e-01
25 May 2023 14:51:31.000,9.509,2.249954,-152.858,-124.358231,9.772129,85.513702,2180000.000,-7.8709,-4.8606,2.095049e-01
25 May 2023 14:52:01.000,9.509,2.249952,-153.951,-125.451670,9.772122,84.420255,2180000.000,-8.9643,-5.9540,2.380626e-01
25 May 2023 14:52:31.000,9.509,2.249951,-154.955,-126.455932,9.772116,83.415988,2180000.000,-9.9686,-6.9583,2.627965e-01
25 May 2023 14:52:43.714,9.509,2.249950,-155.355,-126.855771,9.772115,83.016147,2180000.000,-10.3684,-7.3581,2.721941e-01
25 May 2023 16:18:46.400,9.509,2.250043,-155.313,-126.813385,9.772471,83.058890,2180000.000,-10.3257,-7.3154,2.712023e-01
25 May 2023 16:19:16.000,9.509,2.250041,-154.498,-125.998345,9.772461,83.873920,2180000.000,-9.5106,-6.5003,2.517126e-01
25 May 2023 16:19:46.000,9.509,2.250037,-153.652,-125.152969,9.772448,84.719283,2180000.000,-8.6653,-5.6550,2.304072e-01
25 May 2023 16:20:16.000,9.509,2.250033,-152.816,-124.316907,9.772429,85.555327,2180000.000,-7.8292,-4.8189,2.083893e-01
25 May 2023 16:20:46.000,9.509,2.250026,-152.039,-123.539711,9.772405,86.332499,2180000.000,-7.0521,-4.0418,1.872628e-01
25 May 2023 16:21:16.000,9.509,2.250019,-151.395,-122.895490,9.772374,86.976688,2180000.000,-6.4079,-3.3976,1.694370e-01
25 May 2023 16:21:46.000,9.509,2.250009,-150.974,-122.474603,9.772337,87.397538,2180000.000,-5.9870,-2.9767,1.577200e-01
25 May 2023 16:22:16.000,9.509,2.249999,-150.854,-122.354467,9.772297,87.517634,2180000.000,-5.8669,-2.8566,1.543748e-01
25 May 2023 16:22:46.000,9.509,2.249988,-151.060,-122.560176,9.772257,87.311885,2180000.000,-6.0727,-3.0624,1.601061e-01
25 May 2023 16:23:16.000,9.509,2.249979,-151.549,-123.049168,9.772222,86.822858,2180000.000,-6.5617,-3.5514,1.737105e-01
25 May 2023 16:23:46.000,9.509,2.249972,-152.236,-123.736511,9.772194,86.135487,2180000.000,-7.2491,-4.2388,1.926663e-01
25 May 2023 16:24:16.000,9.509,2.249966,-153.034,-124.534316,9.772173,85.337661,2180000.000,-8.0469,-5.0366,2.142018e-01
25 May 2023 16:24:46.000,9.509,2.249962,-153.874,-125.375073,9.772157,84.496887,2180000.000,-8.8877,-5.8774,2.361127e-01
25 May 2023 16:25:16.000,9.509,2.249959,-154.715,-126.215509,9.772145,83.656440,2180000.000,-9.7281,-6.7178,2.570184e-01
25 May 2023 16:25:40.651,9.509,2.249957,-155.388,-126.888270,9.772138,82.983672,2180000.000,-10.4009,-7.3906,2.729457e-01
26 May 2023 00:13:44.547,9.509,2.250051,-155.381,-126.881877,9.772504,82.990431,2180000.000,-10.3941,-7.3838,2.727894e-01
26 May 2023 00:14:14.000,9.509,2.250051,-154.392,-125.892229,9.772502,83.980076,2180000.000,-9.4045,-6.3942,2.490957e-01
26 May 2023 00:14:44.000,9.509,2.250050,-153.270,-124.770727,9.772498,85.101575,2180000.000,-8.2830,-5.2727,2.204450e-01
26 May 2023 00:15:14.000,9.509,2.250048,-152.015,-123.515208,9.772492,86.357088,2180000.000,-7.0275,-4.0172,1.865865e-01
26 May 2023 00:15:44.000,9.509,2.250046,-150.608,-122.108877,9.772482,87.763409,2180000.000,-5.6212,-2.6109,1.475356e-01
26 May 2023 00:16:14.000,9.509,2.250042,-149.053,-120.554092,9.772465,89.318177,2180000.000,-4.0664,-1.0561,1.052291e-01
26 May 2023 00:16:44.000,9.509,2.250035,-147.420,-118.921143,9.772437,90.951098,2180000.000,-2.4335,0.5768,6.535338e-02
26 May 2023 00:17:14.000,9.509,2.250022,-145.961,-117.462021,9.772387,92.410171,2180000.000,-0.9744,2.0359,3.690701e-02
26 May 2023 00:17:44.000,9.509,2.250003,-145.207,-116.708129,9.772315,93.163990,2180000.000,-0.2206,2.7897,2.559698e-02
26 May 2023 00:18:14.000,9.509,2.249983,-145.606,-117.106961,9.772239,92.765082,2180000.000,-0.6195,2.3908,3.127853e-02
26 May 2023 00:18:44.000,9.509,2.249969,-146.905,-118.405203,9.772183,91.466784,2180000.000,-1.9178,1.0925,5.438284e-02
26 May 2023 00:19:14.000,9.509,2.249960,-148.523,-120.023326,9.772150,89.848628,2180000.000,-3.5359,-0.5256,9.156673e-02
26 May 2023 00:19:44.000,9.509,2.249955,-150.118,-121.618328,9.772131,88.253607,2180000.000,-5.1310,-2.1207,1.339627e-01
26 May 2023 00:20:14.000,9.509,2.249952,-151.576,-123.076465,9.772121,86.795460,2180000.000,-6.5891,-3.5788,1.744707e-01
26 May 2023 00:20:44.000,9.509,2.249950,-152.880,-124.381035,9.772115,85.490884,2180000.000,-7.8937,-4.8834,2.101156e-01
26 May 2023 00:21:14.000,9.509,2.249949,-154.045,-125.545333,9.772110,84.326582,2180000.000,-9.0580,-6.0477,2.404346e-01
26 May 2023 00:21:44.000,9.509,2.249949,-155.088,-126.588888,9.772108,83.283023,2180000.000,-10.1015,-7.0912,2.659511e-01
26 May 2023 00:21:50.101,9.509,2.249949,-155.287,-126.788040,9.772107,83.083871,2180000.000,-10.3007,-7.2904,2.706212e-01
26 May 2023 01:48:06.234,9.509,2.250036,-155.331,-126.831341,9.772443,83.040906,2180000.000,-10.3437,-7.3334,2.716200e-01
26 May 2023 01:48:36.000,9.509,2.250032,-154.669,-126.169768,9.772428,83.702463,2180000.000,-9.6821,-6.6718,2.559018e-01
26 May 2023 01:49:06.000,9.509,2.250027,-154.043,-125.544138,9.772408,84.328074,2180000.000,-9.0565,-6.0462,2.403969e-01
26 May 2023 01:49:36.000,9.509,2.250021,-153.498,-124.998517,9.772385,84.873672,2180000.000,-8.5109,-5.5006,2.264068e-01
26 May 2023 01:50:06.000,9.509,2.250014,-153.079,-124.579785,9.772356,85.292375,2180000.000,-8.0922,-5.0819,2.154044e-01
26 May 2023 01:50:36.000,9.509,2.250006,-152.834,-124.334416,9.772325,85.537713,2180000.000,-7.8469,-4.8366,2.088616e-01
26 May 2023 01:51:06.000,9.509,2.249997,-152.794,-124.294656,9.772292,85.577440,2180000.000,-7.8071,-4.7968,2.077960e-01
26 May 2023 01:51:36.000,9.509,2.249989,-152.965,-124.466008,9.772260,85.406055,2180000.000,-7.9785,-4.9682,2.123811e-01
26 May 2023 01:52:06.000,9.509,2.249981,-153.324,-124.824867,9.772231,85.047168,2180000.000,-8.3374,-5.3271,2.218742e-01
26 May 2023 01:52:36.000,9.509,2.249975,-153.828,-125.328195,9.772206,84.543815,2180000.000,-8.8408,-5.8305,2.349145e-01
26 May 2023 01:53:06.000,9.509,2.249970,-154.427,-125.927927,9.772186,83.944063,2180000.000,-9.4405,-6.4302,2.499854e-01
26 May 2023 01:53:36.000,9.509,2.249965,-155.081,-126.581774,9.772170,83.290200,2180000.000,-10.0944,-7.0841,2.657816e-01
26 May 2023 01:53:43.816,9.509,2.249964,-155.256,-126.756789,9.772166,83.115181,2180000.000,-10.2694,-7.2591,2.698914e-01
26 May 2023 14:39:25.549,9.509,2.250053,-155.264,-126.764436,9.772510,83.107878,2180000.000,-10.2767,-7.2664,2.700617e-01
26 May 2023 14:39:55.000,9.509,2.250053,-154.223,-125.723479,9.772509,84.148834,2180000.000,-9.2357,-6.2254,2.449000e-01
26 May 2023 14:40:25.000,9.509,2.250052,-153.024,-124.525016,9.772508,85.347296,2180000.000,-8.0373,-5.0270,2.139456e-01
26 May 2023 14:40:55.000,9.509,2.250052,-151.650,-123.151068,9.772505,86.721241,2180000.000,-6.6633,-3.6530,1.765288e-01
26 May 2023 14:41:25.000,9.509,2.250050,-150.053,-121.553521,9.772499,88.318783,2180000.000,-5.0658,-2.0555,1.321689e-01
26 May 2023 14:41:55.000,9.509,2.250048,-148.174,-119.674979,9.772488,90.197313,2180000.000,-3.1873,-0.1770,8.292016e-02
26 May 2023 14:42:25.000,9.509,2.250042,-145.981,-117.481807,9.772468,92.390464,2180000.000,-0.9941,2.0162,3.723516e-02
26 May 2023 14:42:55.000,9.509,2.250031,-143.642,-115.142465,9.772421,94.729760,2180000.000,1.3452,4.3555,9.771311e-03
26 May 2023 14:43:25.000,9.509,2.250007,-142.088,-113.589139,9.772328,96.282994,2180000.000,2.8984,5.9087,2.617294e-03
26 May 2023 14:43:55.000,9.509,2.249979,-142.737,-114.237915,9.772220,95.634109,2180000.000,2.2495,5.2598,4.781574e-03
26 May 2023 14:44:25.000,9.509,2.249962,-144.906,-116.406733,9.772157,93.465228,2180000.000,0.0807,3.0910,2.176129e-02
26 May 2023 14:44:55.000,9.509,2.249954,-147.215,-118.715168,9.772128,91.156765,2180000.000,-2.2278,0.7825,6.086737e-02
26 May 2023 14:45:25.000,9.509,2.249951,-149.237,-120.737624,9.772116,89.134296,2180000.000,-4.2503,-1.2400,1.100855e-01
26 May 2023 14:45:55.000,9.509,2.249949,-150.955,-122.455974,9.772109,87.415939,2180000.000,-5.9686,-2.9583,1.572074e-01
26 May 2023 14:46:25.000,9.509,2.249948,-152.424,-123.925071,9.772105,85.946838,2180000.000,-7.4377,-4.4274,1.978123e-01
26 May 2023 14:46:55.000,9.509,2.249947,-153.698,-125.198342,9.772103,84.673565,2180000.000,-8.7110,-5.7007,2.315856e-01
26 May 2023 14:47:25.000,9.509,2.249947,-154.817,-126.317243,9.772102,83.554663,2180000.000,-9.8299,-6.8196,2.594755e-01
26 May 2023 14:47:41.145,9.509,2.249947,-155.366,-126.866655,9.772101,83.005250,2180000.000,-10.3793,-7.3690,2.724465e-01
26 May 2023 16:14:22.055,9.509,2.250033,-155.334,-126.834176,9.772433,83.038060,2180000.000,-10.3465,-7.3362,2.716860e-01
26 May 2023 16:14:52.000,9.509,2.250029,-154.725,-126.225881,9.772416,83.646340,2180000.000,-9.7382,-6.7279,2.572630e-01
26 May 2023 16:15:22.000,9.509,2.250024,-154.170,-125.670853,9.772396,84.201347,2180000.000,-9.1832,-6.1729,2.435857e-01
26 May 2023 16:15:52.000,9.509,2.250018,-153.706,-125.206843,9.772372,84.665332,2180000.000,-8.7192,-5.7089,2.317975e-01
26 May 2023 16:16:22.000,9.509,2.250011,-153.374,-124.874254,9.772344,84.997894,2180000.000,-8.3867,-5.3764,2.231653e-01
26 May 2023 16:16:52.000,9.509,2.250003,-153.208,-124.708758,9.772314,85.163360,2180000.000,-8.2212,-5.2109,2.188175e-01
26 May 2023 16:17:22.000,9.509,2.249995,-153.230,-124.730454,9.772283,85.141634,2180000.000,-8.2429,-5.2326,2.193903e-01
26 May 2023 16:17:52.000,9.509,2.249988,-153.436,-124.936454,9.772254,84.935604,2180000.000,-8.4490,-5.4387,2.247932e-01
26 May 2023 16:18:22.000,9.509,2.249981,-153.801,-125.302011,9.772228,84.570020,2180000.000,-8.8145,-5.8042,2.342441e-01
26 May 2023 16:18:52.000,9.509,2.249975,-154.289,-125.789341,9.772205,84.082669,2180000.000,-9.3019,-6.2916,2.465502e-01
26 May 2023 16:19:22.000,9.509,2.249970,-154.858,-126.358339,9.772187,83.513652,2180000.000,-9.8709,-6.8606,2.604609e-01
26 May 2023 16:19:47.980,9.509,2.249966,-155.389,-126.889921,9.772174,82.982057,2180000.000,-10.4025,-7.3922,2.729830e-01
26 May 2023 22:37:34.035,9.509,2.250015,-155.386,-126.886270,9.772360,82.985894,2180000.000,-10.3987,-7.3884,2.728943e-01
26 May 2023 22:38:04.000,9.509,2.250009,-155.155,-126.655932,9.772338,83.216210,2180000.000,-10.1684,-7.1581,2.675252e-01
26 May 2023 22:38:34.000,9.509,2.250003,-155.036,-126.536413,9.772314,83.335705,2180000.000,-10.0489,-7.0386,2.647047e-01
26 May 2023 22:39:04.000,9.509,2.249997,-155.037,-126.537809,9.772290,83.334285,2180000.000,-10.0503,-7.0400,2.647384e-01
26 May 2023 22:39:34.000,9.509,2.249991,-155.159,-126.660105,9.772266,83.211965,2180000.000,-10.1726,-7.1623,2.676250e-01
26 May 2023 22:40:00.673,9.509,2.249985,-155.362,-126.862636,9.772246,83.009413,2180000.000,-10.3752,-7.3649,2.723501e-01
27 May 2023 00:08:20.734,9.509,2.250053,-155.375,-126.875490,9.772512,82.996827,2180000.000,-10.3877,-7.3774,2.726415e-01
27 May 2023 00:08:50.000,9.509,2.250053,-154.342,-125.842577,9.772512,84.029739,2180000.000,-9.3548,-6.3445,2.478655e-01
27 May 2023 00:09:20.000,9.509,2.250053,-153.140,-124.641052,9.772511,85.231263,2180000.000,-8.1533,-5.1430,2.170236e-01
27 May 2023 00:09:50.000,9.509,2.250053,-151.752,-123.252992,9.772510,86.619322,2180000.000,-6.7652,-3.7549,1.793508e-01
27 May 2023 00:10:20.000,9.509,2.250052,-150.116,-121.616227,9.772508,88.256085,2180000.000,-5.1285,-2.1182,1.338944e-01
27 May 2023 00:10:50.000,9.509,2.250051,-148.137,-119.637490,9.772503,90.234816,2180000.000,-3.1497,-0.1394,8.200813e-02
27 May 2023 00:11:20.000,9.509,2.250048,-145.682,-117.183157,9.772491,92.689138,2180000.000,-0.6954,2.3149,3.243777e-02
27 May 2023 00:11:50.000,9.509,2.250040,-142.647,-114.148089,9.772460,95.724175,2180000.000,2.3396,5.3499,4.419148e-03
27 May 2023 00:12:20.000,9.509,2.250018,-139.692,-111.193133,9.772371,98.679041,2180000.000,5.2945,8.3048,1.169817e-04
27 May 2023 00:12:50.000,9.509,2.249979,-139.901,-111.401721,9.772222,98.470305,2180000.000,5.0857,8.0960,1.641756e-04
27 May 2023 00:13:20.000,9.509,2.249958,-142.961,-114.461399,9.772144,95.410548,2180000.000,2.0260,5.0363,5.778429e-03
27 May 2023 00:13:50.000,9.509,2.249951,-145.944,-117.444753,9.772118,92.427169,2180000.000,-0.9574,2.0529,3.662526e-02
27 May 2023 00:14:20.000,9.509,2.249949,-148.347,-119.847376,9.772108,90.024536,2180000.000,-3.3600,-0.3497,8.716798e-02
27 May 2023 00:14:50.000,9.509,2.249948,-150.288,-121.788626,9.772103,88.083281,2180000.000,-5.3013,-2.2910,1.386643e-01
27 May 2023 00:15:20.000,9.509,2.249947,-151.898,-123.398567,9.772101,86.473338,2180000.000,-6.9112,-3.9009,1.833838e-01
27 May 2023 00:15:50.000,9.509,2.249947,-153.266,-124.766910,9.772100,85.104994,2180000.000,-8.2796,-5.2693,2.203550e-01
27 May 2023 00:16:20.000,9.509,2.249947,-154.453,-125.953494,9.772099,83.918409,2180000.000,-9.4662,-6.4559,2.506180e-01
27 May 2023 00:16:43.263,9.509,2.249946,-155.274,-126.774991,9.772099,83.096912,2180000.000,-10.2877,-7.2774,2.703174e-01
27 May 2023 01:44:43.126,9.509,2.250011,-155.296,-126.797137,9.772344,83.075012,2180000.000,-10.3096,-7.2993,2.708274e-01
27 May 2023 01:45:13.000,9.509,2.250005,-155.150,-126.650647,9.772320,83.221477,2180000.000,-10.1631,-7.1528,2.674014e-01
27 May 2023 01:45:43.000,9.509,2.249998,-155.123,-126.623649,9.772295,83.248450,2180000.000,-10.1361,-7.1258,2.667666e-01
27 May 2023 01:46:13.000,9.509,2.249992,-155.218,-126.719156,9.772271,83.152919,2180000.000,-10.2316,-7.2213,2.690095e-01
27 May 2023 01:46:22.618,9.509,2.249990,-155.274,-126.774659,9.772263,83.097409,2180000.000,-10.2872,-7.2769,2.703058e-01
