"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 04:20:29.901,2 Aug 2023 04:24:34.949,245.048
2,2 Aug 2023 05:55:06.871,2 Aug 2023 05:58:44.870,217.999
3,2 Aug 2023 07:29:44.708,2 Aug 2023 07:33:31.544,226.835
4,2 Aug 2023 09:03:53.025,2 Aug 2023 09:06:34.487,161.462
5,3 Aug 2023 02:57:06.597,3 Aug 2023 02:57:47.774,41.177
6,3 Aug 2023 04:28:41.415,3 Aug 2023 04:32:49.601,248.186
7,3 Aug 2023 06:03:41.809,3 Aug 2023 06:07:11.048,209.239
8,3 Aug 2023 07:37:56.213,3 Aug 2023 07:41:49.753,233.540
9,3 Aug 2023 09:12:58.162,3 Aug 2023 09:14:04.924,66.762
10,4 Aug 2023 03:03:09.220,4 Aug 2023 03:06:47.333,218.113
11,4 Aug 2023 04:37:07.995,4 Aug 2023 04:41:02.400,234.404
12,4 Aug 2023 06:12:04.493,4 Aug 2023 06:15:41.422,216.929
13,4 Aug 2023 07:46:07.306,4 Aug 2023 07:49:41.243,213.938
14,5 Aug 2023 03:11:03.466,5 Aug 2023 03:15:10.113,246.646
15,5 Aug 2023 04:45:46.318,5 Aug 2023 04:49:21.087,214.769
16,5 Aug 2023 06:20:18.998,5 Aug 2023 06:24:07.678,228.680
17,5 Aug 2023 07:54:31.220,5 Aug 2023 07:57:03.160,151.940
18,6 Aug 2023 01:47:20.355,6 Aug 2023 01:48:39.725,79.370
19,6 Aug 2023 03:19:16.879,6 Aug 2023 03:23:23.821,246.942
20,6 Aug 2023 04:54:18.801,6 Aug 2023 04:57:48.731,209.931
21,6 Aug 2023 06:28:29.747,6 Aug 2023 06:32:23.023,233.276
22,7 Aug 2023 01:53:35.498,7 Aug 2023 01:57:24.761,229.263
23,7 Aug 2023 03:27:46.593,7 Aug 2023 03:31:37.187,230.594
24,7 Aug 2023 05:02:39.635,7 Aug 2023 05:06:18.821,219.186
25,7 Aug 2023 06:36:42.317,7 Aug 2023 06:40:03.219,200.902
26,8 Aug 2023 02:01:36.687,8 Aug 2023 02:05:45.025,248.338
27,8 Aug 2023 03:36:25.845,8 Aug 2023 03:39:57.686,211.841
28,8 Aug 2023 05:10:53.230,8 Aug 2023 05:14:43.301,230.070
29,8 Aug 2023 06:45:11.052,8 Aug 2023 06:47:28.745,137.693

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 03:35:16.003,2 Aug 2023 03:37:05.484,109.481
2,2 Aug 2023 05:07:33.967,2 Aug 2023 05:11:38.616,244.648
3,2 Aug 2023 06:42:36.195,2 Aug 2023 06:46:07.338,211.143
4,2 Aug 2023 08:16:44.077,2 Aug 2023 08:20:35.529,231.452
5,3 Aug 2023 03:41:45.278,3 Aug 2023 03:45:42.463,237.185
6,3 Aug 2023 05:16:06.583,3 Aug 2023 05:19:52.917,226.333
7,3 Aug 2023 06:50:55.104,3 Aug 2023 06:54:36.811,221.707
8,3 Aug 2023 08:24:58.616,3 Aug 2023 08:28:06.294,187.679
9,4 Aug 2023 03:49:51.888,4 Aug 2023 03:54:00.282,248.394
10,4 Aug 2023 05:24:46.200,4 Aug 2023 05:28:15.433,209.234
11,4 Aug 2023 06:59:08.056,4 Aug 2023 07:02:59.288,231.233
12,4 Aug 2023 08:33:34.782,4 Aug 2023 08:35:37.936,123.154
13,5 Aug 2023 02:25:11.209,5 Aug 2023 02:27:47.853,156.644
14,5 Aug 2023 03:58:11.104,5 Aug 2023 04:02:12.875,241.771
15,5 Aug 2023 05:33:12.450,5 Aug 2023 05:36:45.113,212.662
16,5 Aug 2023 07:07:18.137,5 Aug 2023 07:11:06.478,228.342
17,6 Aug 2023 02:32:16.677,6 Aug 2023 02:36:18.650,241.974
18,6 Aug 2023 04:06:46.052,6 Aug 2023 04:10:28.350,222.298
19,6 Aug 2023 05:41:29.699,6 Aug 2023 05:45:14.050,224.350
20,6 Aug 2023 07:15:34.985,6 Aug 2023 07:18:23.231,168.247
21,7 Aug 2023 02:40:26.352,7 Aug 2023 02:44:34.714,248.362
22,7 Aug 2023 04:15:23.718,7 Aug 2023 04:18:52.708,208.990
23,7 Aug 2023 05:49:42.340,7 Aug 2023 05:53:34.719,232.378
24,7 Aug 2023 07:24:23.345,7 Aug 2023 07:26:04.057,100.712
25,8 Aug 2023 01:15:09.490,8 Aug 2023 01:18:27.994,198.504
26,8 Aug 2023 02:48:48.920,8 Aug 2023 02:52:47.245,238.325
27,8 Aug 2023 04:23:48.323,8 Aug 2023 04:27:22.938,214.614
28,8 Aug 2023 05:57:52.201,8 Aug 2023 06:01:35.469,223.268

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 10:14:31.724,1 Aug 2023 10:18:16.469,224.744
2,1 Aug 2023 11:48:37.877,1 Aug 2023 11:52:28.092,230.215
3,1 Aug 2023 13:23:34.183,1 Aug 2023 13:27:09.059,214.876
4,1 Aug 2023 14:57:35.165,1 Aug 2023 15:01:07.143,211.978
5,2 Aug 2023 10:22:30.864,2 Aug 2023 10:26:38.489,247.625
6,2 Aug 2023 11:57:18.972,2 Aug 2023 12:00:48.120,209.148
7,2 Aug 2023 13:31:48.660,2 Aug 2023 13:35:36.542,227.882
8,2 Aug 2023 15:06:00.344,2 Aug 2023 15:08:30.701,150.357
9,3 Aug 2023 08:58:38.906,3 Aug 2023 09:00:14.769,95.863
10,3 Aug 2023 10:30:47.144,3 Aug 2023 10:34:52.097,244.953
11,3 Aug 2023 12:05:51.192,3 Aug 2023 12:09:17.836,206.644
12,3 Aug 2023 13:40:00.033,3 Aug 2023 13:43:52.595,232.561
13,4 Aug 2023 09:05:03.024,4 Aug 2023 09:08:56.764,233.740
14,4 Aug 2023 10:39:19.979,4 Aug 2023 10:43:05.989,226.010
15,4 Aug 2023 12:14:12.253,4 Aug 2023 12:17:49.646,217.393
16,4 Aug 2023 13:48:13.288,4 Aug 2023 13:51:32.793,199.506
