"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:20:45.919,1 Jun 2023 10:21:51.307,65.388
2,1 Jun 2023 11:52:45.119,1 Jun 2023 11:54:29.549,104.430
3,1 Jun 2023 13:24:29.310,1 Jun 2023 13:25:13.928,44.619
4,2 Jun 2023 08:22:00.762,2 Jun 2023 08:23:03.786,63.024
5,2 Jun 2023 08:23:07.931,2 Jun 2023 08:24:31.427,83.496
6,2 Jun 2023 09:55:18.371,2 Jun 2023 09:56:23.552,65.181
7,2 Jun 2023 11:27:17.172,2 Jun 2023 11:29:02.160,104.987
8,2 Jun 2023 12:59:02.647,2 Jun 2023 12:59:45.719,43.073
9,3 Jun 2023 07:56:32.900,3 Jun 2023 07:57:35.823,62.923
10,3 Jun 2023 07:57:39.889,3 Jun 2023 07:59:03.567,83.678
11,3 Jun 2023 09:29:50.761,3 Jun 2023 09:30:55.802,65.041
12,3 Jun 2023 11:01:49.245,3 Jun 2023 11:03:34.777,105.532
13,3 Jun 2023 12:33:36.332,3 Jun 2023 12:34:17.350,41.017
14,4 Jun 2023 07:31:05.155,4 Jun 2023 07:33:35.656,150.500
15,4 Jun 2023 09:04:23.129,4 Jun 2023 09:05:28.059,64.930
16,4 Jun 2023 10:36:21.341,4 Jun 2023 10:38:07.401,106.060
17,4 Jun 2023 12:08:10.658,4 Jun 2023 12:08:48.786,38.129
18,5 Jun 2023 07:05:37.528,5 Jun 2023 07:08:07.698,150.169
19,5 Jun 2023 08:38:55.502,5 Jun 2023 08:40:00.321,64.819
20,5 Jun 2023 10:10:53.450,5 Jun 2023 10:12:40.033,106.582
21,5 Jun 2023 11:42:51.077,5 Jun 2023 11:43:19.981,28.904
22,6 Jun 2023 06:40:10.022,6 Jun 2023 06:42:39.690,149.668
23,6 Jun 2023 08:13:27.874,6 Jun 2023 08:14:32.590,64.716
24,6 Jun 2023 09:45:25.559,6 Jun 2023 09:47:12.673,107.113
25,6 Jun 2023 11:17:24.213,6 Jun 2023 11:17:50.942,26.729
26,7 Jun 2023 06:14:42.635,7 Jun 2023 06:17:11.628,148.993
27,7 Jun 2023 07:48:00.247,7 Jun 2023 07:49:04.864,64.617
28,7 Jun 2023 09:19:57.694,7 Jun 2023 09:21:45.326,107.632
29,7 Jun 2023 10:51:57.618,7 Jun 2023 10:52:21.802,24.183
30,8 Jun 2023 05:49:15.029,8 Jun 2023 05:51:43.509,148.481
31,8 Jun 2023 07:22:32.616,8 Jun 2023 07:23:37.144,64.528
32,8 Jun 2023 08:54:29.847,8 Jun 2023 08:56:17.944,108.097

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 11:06:50.666,1 Jun 2023 11:07:57.685,67.019
2,1 Jun 2023 12:38:17.030,1 Jun 2023 12:40:13.754,116.724
3,2 Jun 2023 09:08:09.287,2 Jun 2023 09:10:23.317,134.030
4,2 Jun 2023 10:41:22.918,2 Jun 2023 10:42:30.026,67.108
5,2 Jun 2023 12:12:49.117,2 Jun 2023 12:14:45.130,116.013
6,3 Jun 2023 08:42:42.884,3 Jun 2023 08:44:55.332,132.448
7,3 Jun 2023 10:15:55.169,3 Jun 2023 10:17:02.358,67.189
8,3 Jun 2023 11:47:21.254,3 Jun 2023 11:49:16.272,115.018
9,4 Jun 2023 08:17:16.946,4 Jun 2023 08:19:27.329,130.383
10,4 Jun 2023 09:50:27.422,4 Jun 2023 09:51:34.682,67.260
11,4 Jun 2023 11:21:53.435,4 Jun 2023 11:23:47.072,113.637
12,5 Jun 2023 07:51:51.418,5 Jun 2023 07:53:59.305,127.887
13,5 Jun 2023 09:24:59.674,5 Jun 2023 09:26:07.001,67.327
14,5 Jun 2023 10:56:25.665,5 Jun 2023 10:58:17.485,111.820
15,6 Jun 2023 07:26:26.767,6 Jun 2023 07:28:31.258,124.491
16,6 Jun 2023 08:59:31.925,6 Jun 2023 09:00:39.719,67.794
17,6 Jun 2023 10:30:57.946,6 Jun 2023 10:32:47.873,109.928
18,7 Jun 2023 07:01:01.288,7 Jun 2023 07:03:03.215,121.927
19,7 Jun 2023 08:34:04.179,7 Jun 2023 08:35:12.620,68.441
20,7 Jun 2023 10:05:30.252,7 Jun 2023 10:07:18.277,108.025
21,8 Jun 2023 06:35:34.017,8 Jun 2023 06:37:35.580,121.563
22,8 Jun 2023 08:08:36.436,8 Jun 2023 08:09:45.467,69.032
23,8 Jun 2023 09:40:02.606,8 Jun 2023 09:41:25.270,82.664
24,8 Jun 2023 09:41:38.998,8 Jun 2023 09:41:48.203,9.205

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 14:41:05.123,1 Jun 2023 14:42:08.246,63.123
2,1 Jun 2023 14:42:12.009,1 Jun 2023 14:43:35.573,83.564
3,1 Jun 2023 16:14:23.714,1 Jun 2023 16:15:26.476,62.762
4,1 Jun 2023 17:46:23.040,1 Jun 2023 17:48:05.774,102.734
5,1 Jun 2023 19:18:05.365,1 Jun 2023 19:18:51.192,45.827
6,2 Jun 2023 14:15:38.454,2 Jun 2023 14:18:08.678,150.224
7,2 Jun 2023 15:48:57.170,2 Jun 2023 15:49:59.772,62.602
8,2 Jun 2023 17:20:56.068,2 Jun 2023 17:22:39.544,103.475
9,2 Jun 2023 18:52:39.631,2 Jun 2023 18:53:24.178,44.547
10,3 Jun 2023 13:50:11.895,3 Jun 2023 13:52:41.731,149.836
11,3 Jun 2023 15:23:30.585,3 Jun 2023 15:24:33.076,62.491
12,3 Jun 2023 16:55:29.122,3 Jun 2023 16:57:13.251,104.128
13,3 Jun 2023 18:27:13.998,3 Jun 2023 18:27:57.028,43.029
