"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 03:31:46.763,2 Aug 2023 03:32:41.404,54.640
2,2 Aug 2023 04:59:25.983,2 Aug 2023 05:03:00.173,214.190
3,2 Aug 2023 06:30:07.291,2 Aug 2023 06:32:58.721,171.431
4,2 Aug 2023 07:59:55.165,2 Aug 2023 08:03:16.722,201.557
5,2 Aug 2023 09:30:31.898,2 Aug 2023 09:31:19.635,47.737
6,3 Aug 2023 04:00:35.187,3 Aug 2023 04:04:11.233,216.045
7,3 Aug 2023 05:31:00.331,3 Aug 2023 05:33:56.630,176.299
8,3 Aug 2023 07:01:07.574,3 Aug 2023 07:04:22.033,194.459
9,3 Aug 2023 08:30:51.302,3 Aug 2023 08:33:07.061,135.759
10,4 Aug 2023 03:02:00.345,4 Aug 2023 03:05:13.450,193.105
11,4 Aug 2023 04:31:43.446,4 Aug 2023 04:35:02.603,199.157
12,4 Aug 2023 06:02:18.421,4 Aug 2023 06:05:18.122,179.701
13,4 Aug 2023 07:31:55.690,4 Aug 2023 07:35:05.617,189.927
14,5 Aug 2023 02:05:09.671,5 Aug 2023 02:05:44.873,35.202
15,5 Aug 2023 03:32:38.823,5 Aug 2023 03:36:14.161,215.338
16,5 Aug 2023 05:03:19.195,5 Aug 2023 05:06:10.220,171.025
17,5 Aug 2023 06:33:08.932,5 Aug 2023 06:36:30.423,201.491
18,5 Aug 2023 08:03:31.014,5 Aug 2023 08:04:41.189,70.175
19,6 Aug 2023 02:33:49.974,6 Aug 2023 02:37:24.557,214.583
20,6 Aug 2023 04:04:10.828,6 Aug 2023 04:07:09.618,178.790
21,6 Aug 2023 05:34:21.559,6 Aug 2023 05:37:34.375,192.816
22,6 Aug 2023 07:04:03.293,6 Aug 2023 07:06:22.773,139.480
23,7 Aug 2023 01:35:20.493,7 Aug 2023 01:38:25.177,184.684
24,7 Aug 2023 03:04:54.572,7 Aug 2023 03:08:15.911,201.340
25,7 Aug 2023 04:35:31.620,7 Aug 2023 04:38:29.703,178.084
26,7 Aug 2023 06:05:09.540,7 Aug 2023 06:08:23.557,194.017
27,8 Aug 2023 02:05:51.997,8 Aug 2023 02:09:28.112,216.115
28,8 Aug 2023 03:36:30.970,8 Aug 2023 03:39:21.783,170.813
29,8 Aug 2023 05:06:22.766,8 Aug 2023 05:09:43.750,200.984
30,8 Aug 2023 06:36:37.213,8 Aug 2023 06:38:00.658,83.445

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 04:14:35.835,2 Aug 2023 04:18:07.678,211.843
2,2 Aug 2023 05:44:46.084,2 Aug 2023 05:47:52.674,186.590
3,2 Aug 2023 07:15:06.825,2 Aug 2023 07:18:14.726,187.901
4,2 Aug 2023 08:44:44.856,2 Aug 2023 08:47:23.567,158.711
5,3 Aug 2023 03:16:52.895,3 Aug 2023 03:17:08.630,15.736
6,3 Aug 2023 03:17:16.226,3 Aug 2023 03:19:01.977,105.751
7,3 Aug 2023 04:45:33.303,3 Aug 2023 04:49:00.594,207.290
8,3 Aug 2023 06:16:14.102,3 Aug 2023 06:19:08.588,174.486
9,3 Aug 2023 07:45:55.010,3 Aug 2023 07:49:14.801,199.790
10,4 Aug 2023 03:46:37.057,4 Aug 2023 03:50:13.224,216.167
11,4 Aug 2023 05:17:10.078,4 Aug 2023 05:20:01.291,171.213
12,4 Aug 2023 06:47:08.071,4 Aug 2023 06:50:26.853,198.783
13,4 Aug 2023 08:17:03.249,4 Aug 2023 08:18:54.373,111.123
14,5 Aug 2023 02:47:51.014,5 Aug 2023 02:51:20.444,209.430
15,5 Aug 2023 04:17:56.439,5 Aug 2023 04:21:05.842,189.403
16,5 Aug 2023 05:48:20.618,5 Aug 2023 05:51:26.796,186.178
17,5 Aug 2023 07:17:57.890,5 Aug 2023 07:20:44.515,166.625
18,6 Aug 2023 01:50:34.802,6 Aug 2023 01:52:11.399,96.597
19,6 Aug 2023 03:18:45.068,6 Aug 2023 03:22:14.614,209.546
20,6 Aug 2023 04:49:26.620,6 Aug 2023 04:52:20.038,173.418
21,6 Aug 2023 06:19:09.249,6 Aug 2023 06:22:30.028,200.779
22,7 Aug 2023 02:19:50.084,7 Aug 2023 02:23:26.945,216.861
23,7 Aug 2023 03:50:21.575,7 Aug 2023 03:53:14.092,172.517
24,7 Aug 2023 05:20:22.060,7 Aug 2023 05:23:39.845,197.786
