"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 04:59:40.438,2 Aug 2023 05:02:41.893,181.456
2,2 Aug 2023 06:30:41.463,2 Aug 2023 06:32:38.063,116.600
3,2 Aug 2023 08:00:10.516,2 Aug 2023 08:03:02.189,171.674
4,3 Aug 2023 04:00:50.115,3 Aug 2023 04:03:56.753,186.638
5,3 Aug 2023 05:31:24.611,3 Aug 2023 05:33:40.468,135.857
6,3 Aug 2023 07:01:31.632,3 Aug 2023 07:04:07.241,155.609
7,3 Aug 2023 08:31:06.902,3 Aug 2023 08:32:49.813,102.910
8,4 Aug 2023 03:02:30.087,4 Aug 2023 03:03:20.031,49.944
9,4 Aug 2023 03:03:24.391,4 Aug 2023 03:04:57.541,93.150
10,4 Aug 2023 04:32:02.941,4 Aug 2023 04:34:47.282,164.341
11,4 Aug 2023 06:02:47.663,4 Aug 2023 06:04:59.696,132.033
12,4 Aug 2023 07:32:10.461,4 Aug 2023 07:34:40.790,150.330
13,5 Aug 2023 03:32:53.136,5 Aug 2023 03:35:56.329,183.193
14,5 Aug 2023 05:03:53.435,5 Aug 2023 05:05:50.538,117.103
15,5 Aug 2023 06:33:24.721,5 Aug 2023 06:36:16.079,171.358
16,6 Aug 2023 02:34:04.178,6 Aug 2023 02:37:10.175,185.998
17,6 Aug 2023 04:04:33.880,6 Aug 2023 04:06:53.571,139.690
18,6 Aug 2023 05:34:47.127,6 Aug 2023 05:37:19.241,152.114
19,6 Aug 2023 07:04:18.372,6 Aug 2023 07:06:06.850,108.478
20,7 Aug 2023 01:36:14.179,7 Aug 2023 01:36:17.605,3.425
21,7 Aug 2023 01:36:40.522,7 Aug 2023 01:38:08.200,87.678
22,7 Aug 2023 03:05:12.559,7 Aug 2023 03:08:00.764,168.205
23,7 Aug 2023 04:36:01.709,7 Aug 2023 04:38:10.240,128.531
24,7 Aug 2023 06:05:24.492,7 Aug 2023 06:08:00.514,156.022
25,8 Aug 2023 02:06:06.301,8 Aug 2023 02:09:11.078,184.778
26,8 Aug 2023 03:37:05.165,8 Aug 2023 03:39:03.050,117.885
27,8 Aug 2023 05:06:39.092,8 Aug 2023 05:09:29.455,170.363
28,8 Aug 2023 06:37:11.154,8 Aug 2023 06:37:36.027,24.873

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 04:14:50.945,2 Aug 2023 04:17:53.195,182.250
2,2 Aug 2023 05:45:09.354,2 Aug 2023 05:47:36.804,147.450
3,2 Aug 2023 07:15:33.181,2 Aug 2023 07:17:59.205,146.024
4,2 Aug 2023 08:44:59.223,2 Aug 2023 08:46:55.433,116.210
5,3 Aug 2023 03:17:41.876,3 Aug 2023 03:18:41.421,59.545
6,3 Aug 2023 04:45:49.180,3 Aug 2023 04:48:44.836,175.656
7,3 Aug 2023 06:16:46.501,3 Aug 2023 06:18:44.364,117.863
8,3 Aug 2023 07:46:11.407,3 Aug 2023 07:48:58.697,167.290
9,4 Aug 2023 03:46:51.368,4 Aug 2023 03:49:57.714,186.346
10,4 Aug 2023 05:17:43.890,4 Aug 2023 05:19:44.854,120.964
11,4 Aug 2023 06:47:26.436,4 Aug 2023 06:50:12.508,166.072
12,4 Aug 2023 08:17:28.513,4 Aug 2023 08:18:37.946,69.433
13,5 Aug 2023 02:48:06.333,5 Aug 2023 02:51:05.735,179.402
14,5 Aug 2023 04:18:20.184,5 Aug 2023 04:20:49.987,149.803
15,5 Aug 2023 05:48:47.427,5 Aug 2023 05:51:10.775,143.348
16,5 Aug 2023 07:18:12.194,5 Aug 2023 07:20:09.176,116.983
17,6 Aug 2023 01:51:09.449,6 Aug 2023 01:51:49.339,39.889
18,6 Aug 2023 03:19:00.569,6 Aug 2023 03:21:58.250,177.681
