"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
8,5 May 2023 03:21:17.160,5 May 2023 03:21:53.962,36.803
9,5 May 2023 04:48:24.162,5 May 2023 04:48:35.513,11.351
10,5 May 2023 17:15:22.530,5 May 2023 17:20:12.049,289.519
11,6 May 2023 03:30:02.406,6 May 2023 03:32:28.320,145.914
12,6 May 2023 17:25:43.754,6 May 2023 17:30:06.679,262.925
13,7 May 2023 03:38:28.990,7 May 2023 03:42:50.644,261.653

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 17:19:19.183,1 May 2023 17:24:03.212,284.029
2,2 May 2023 03:33:16.413,2 May 2023 03:36:25.607,189.194
3,2 May 2023 17:29:40.711,2 May 2023 17:33:20.451,219.741
4,3 May 2023 03:42:09.786,3 May 2023 03:46:47.589,277.802
5,3 May 2023 17:40:04.092,3 May 2023 17:41:51.260,107.168
6,4 May 2023 03:52:17.459,4 May 2023 03:57:08.763,291.304
7,4 May 2023 16:22:47.573,4 May 2023 16:24:26.969,99.396
8,5 May 2023 04:02:39.590,5 May 2023 04:07:29.077,289.487
9,5 May 2023 16:30:36.937,5 May 2023 16:34:53.892,256.955
10,6 May 2023 04:13:00.906,6 May 2023 04:17:48.620,287.714
11,6 May 2023 16:40:32.022,6 May 2023 16:45:13.412,281.390
12,7 May 2023 04:23:21.328,7 May 2023 04:28:03.412,282.084

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 19:35:17.396,1 May 2023 19:40:08.730,291.334
2,2 May 2023 05:50:34.583,2 May 2023 05:52:21.834,107.252
3,2 May 2023 19:45:38.083,2 May 2023 19:50:17.697,279.614
4,3 May 2023 05:59:06.546,3 May 2023 06:02:45.163,218.616
5,3 May 2023 19:55:59.590,3 May 2023 19:59:16.763,197.173
6,4 May 2023 06:08:23.093,4 May 2023 06:13:06.767,283.674
7,4 May 2023 20:06:24.223,4 May 2023 20:07:53.007,88.784
8,5 May 2023 06:18:36.504,5 May 2023 06:23:27.557,291.053
9,5 May 2023 18:48:35.401,5 May 2023 18:50:48.913,133.513
10,6 May 2023 06:28:58.365,6 May 2023 06:33:47.521,289.156
11,6 May 2023 18:56:47.926,6 May 2023 19:01:11.891,263.965
12,7 May 2023 06:39:19.314,7 May 2023 06:44:06.700,287.386

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 18:51:27.571,1 May 2023 18:54:49.281,201.710
2,2 May 2023 06:32:55.835,2 May 2023 06:37:44.266,288.430
3,2 May 2023 19:00:33.975,2 May 2023 19:05:08.559,274.584
4,3 May 2023 06:43:16.421,3 May 2023 06:48:01.936,285.515
5,3 May 2023 19:10:42.393,3 May 2023 19:15:28.443,286.050
6,4 May 2023 06:53:36.156,4 May 2023 06:58:07.130,270.973
7,4 May 2023 19:21:00.822,4 May 2023 19:25:49.188,288.367
8,5 May 2023 07:03:56.448,5 May 2023 07:06:48.825,172.377
9,5 May 2023 19:31:20.389,5 May 2023 19:36:10.848,290.459
10,6 May 2023 05:47:14.857,6 May 2023 05:48:19.406,64.548
11,6 May 2023 19:41:40.726,6 May 2023 19:46:28.292,287.566
12,7 May 2023 05:55:56.113,7 May 2023 05:58:47.294,171.181

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 21:09:41.971,1 May 2023 21:10:32.659,50.688
2,1 May 2023 22:36:55.020,1 May 2023 22:37:17.516,22.495
3,2 May 2023 08:48:52.909,2 May 2023 08:53:42.809,289.900
4,2 May 2023 21:17:19.434,2 May 2023 21:21:07.187,227.753
5,3 May 2023 08:59:14.020,3 May 2023 09:04:02.113,288.093
6,3 May 2023 21:26:48.559,3 May 2023 21:31:26.193,277.634
7,4 May 2023 09:09:34.252,4 May 2023 09:14:17.734,283.482
8,4 May 2023 21:36:59.320,4 May 2023 21:41:46.076,286.756
9,5 May 2023 09:19:53.623,5 May 2023 09:24:17.387,263.764
10,5 May 2023 21:47:18.023,5 May 2023 21:52:06.822,288.800
11,6 May 2023 09:30:16.371,6 May 2023 09:32:29.442,133.071
12,6 May 2023 21:57:37.551,6 May 2023 22:02:28.478,290.927
13,7 May 2023 08:13:11.932,7 May 2023 08:14:40.556,88.623

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 21:51:15.379,1 May 2023 21:56:05.063,289.685
2,2 May 2023 08:07:39.326,2 May 2023 08:08:02.797,23.471
3,2 May 2023 09:34:25.997,2 May 2023 09:35:13.474,47.477
4,2 May 2023 22:01:35.233,2 May 2023 22:06:26.422,291.189
5,3 May 2023 08:16:28.857,3 May 2023 08:18:41.405,132.547
6,3 May 2023 22:11:55.889,3 May 2023 22:16:29.993,274.104
7,4 May 2023 08:24:56.225,4 May 2023 08:29:03.540,247.315
8,4 May 2023 22:22:17.376,4 May 2023 22:25:14.667,177.290
9,5 May 2023 08:34:37.221,5 May 2023 08:39:24.786,287.564
10,5 May 2023 22:32:43.820,5 May 2023 22:33:55.648,71.828
11,6 May 2023 08:44:54.496,6 May 2023 08:49:45.217,290.721
12,6 May 2023 21:14:25.979,6 May 2023 21:17:08.241,162.263
13,7 May 2023 08:55:16.010,7 May 2023 09:00:04.843,288.833

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 11:39:49.122,1 May 2023 11:44:22.552,273.430
2,2 May 2023 00:07:13.383,2 May 2023 00:12:01.442,288.058
3,2 May 2023 11:50:08.313,2 May 2023 11:53:20.162,191.849
4,3 May 2023 00:17:32.526,3 May 2023 00:22:22.654,290.128
5,3 May 2023 10:33:37.852,3 May 2023 10:34:29.317,51.465
6,4 May 2023 00:27:52.406,4 May 2023 00:32:42.520,290.114
7,4 May 2023 10:42:23.411,4 May 2023 10:44:59.291,155.880
8,5 May 2023 00:38:13.138,5 May 2023 00:42:39.371,266.233
9,5 May 2023 10:50:55.595,5 May 2023 10:55:21.088,265.493
10,6 May 2023 00:48:34.650,6 May 2023 00:51:12.041,157.390
11,6 May 2023 11:00:52.059,6 May 2023 11:05:42.058,289.999
12,7 May 2023 00:59:04.208,7 May 2023 00:59:57.413,53.205

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 10:54:38.738,1 May 2023 10:59:19.665,280.927
2,2 May 2023 00:52:34.280,2 May 2023 00:54:26.385,112.105
3,2 May 2023 11:04:48.820,2 May 2023 11:09:40.296,291.477
4,2 May 2023 23:35:25.443,2 May 2023 23:36:56.832,91.389
5,3 May 2023 11:15:10.562,3 May 2023 11:20:00.085,289.523
6,3 May 2023 23:43:12.572,3 May 2023 23:47:24.111,251.539
7,4 May 2023 11:25:31.378,4 May 2023 11:30:19.130,287.752
8,4 May 2023 23:53:02.898,4 May 2023 23:57:43.184,280.286
9,5 May 2023 11:35:51.333,5 May 2023 11:40:32.240,280.907
10,6 May 2023 00:03:15.947,6 May 2023 00:08:03.130,287.183
11,6 May 2023 11:46:10.418,6 May 2023 11:50:22.902,252.484
12,7 May 2023 00:13:34.731,7 May 2023 00:18:23.939,289.207

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 13:11:26.243,1 May 2023 13:15:15.785,229.542
2,2 May 2023 03:08:29.267,2 May 2023 03:11:46.290,197.023
3,2 May 2023 13:20:51.765,2 May 2023 13:25:37.045,285.280
4,3 May 2023 03:18:53.361,3 May 2023 03:20:24.010,90.649
5,3 May 2023 13:31:06.441,3 May 2023 13:35:57.504,291.063
6,4 May 2023 02:01:07.339,4 May 2023 02:03:18.247,130.909
7,4 May 2023 13:41:28.006,4 May 2023 13:46:17.150,289.144
8,5 May 2023 02:09:18.424,5 May 2023 02:13:41.036,262.612
9,5 May 2023 13:51:48.640,5 May 2023 13:56:35.934,287.294
10,6 May 2023 02:19:17.557,6 May 2023 02:24:00.320,282.763
11,6 May 2023 14:02:08.428,6 May 2023 14:06:46.244,277.816
12,7 May 2023 02:29:32.846,7 May 2023 02:34:20.448,287.602

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 13:55:46.689,1 May 2023 14:00:31.452,284.763
2,2 May 2023 02:23:12.224,2 May 2023 02:27:58.309,286.086
3,2 May 2023 14:06:06.116,2 May 2023 14:10:34.373,268.257
4,3 May 2023 02:33:30.333,3 May 2023 02:38:18.809,288.477
5,3 May 2023 14:16:26.801,3 May 2023 14:19:05.301,158.500
6,4 May 2023 02:43:49.636,4 May 2023 02:48:40.223,290.587
7,4 May 2023 12:59:37.196,4 May 2023 13:00:50.773,73.577
8,5 May 2023 02:54:09.700,5 May 2023 02:58:57.563,287.864
9,5 May 2023 13:08:18.395,5 May 2023 13:11:16.932,178.537
10,6 May 2023 03:04:30.598,6 May 2023 03:08:40.117,249.519
11,6 May 2023 13:17:04.286,6 May 2023 13:21:38.558,274.272
12,7 May 2023 03:14:52.335,7 May 2023 03:17:07.694,135.359

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 16:11:43.949,1 May 2023 16:16:31.945,287.997
2,2 May 2023 04:39:17.522,2 May 2023 04:43:56.087,278.565
3,2 May 2023 16:22:04.154,2 May 2023 16:26:47.100,282.946
4,3 May 2023 04:49:29.139,3 May 2023 04:54:16.038,286.899
5,3 May 2023 16:32:23.502,3 May 2023 16:36:45.249,261.747
6,4 May 2023 04:59:47.943,4 May 2023 05:04:36.851,288.908
7,4 May 2023 16:42:47.186,4 May 2023 16:44:50.529,123.342
8,5 May 2023 05:10:07.531,5 May 2023 05:14:58.580,291.049
9,5 May 2023 15:25:37.000,5 May 2023 15:27:11.103,94.103
10,6 May 2023 05:20:27.909,6 May 2023 05:25:11.761,283.852
11,6 May 2023 15:34:13.021,6 May 2023 15:37:35.184,202.164
12,7 May 2023 05:30:49.111,7 May 2023 05:34:28.642,219.531

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 15:28:53.538,1 May 2023 15:31:11.456,137.918
2,2 May 2023 05:24:25.911,2 May 2023 05:28:57.856,271.945
3,2 May 2023 15:37:19.654,2 May 2023 15:41:33.534,253.880
4,3 May 2023 05:34:47.444,3 May 2023 05:37:38.120,170.676
5,3 May 2023 15:47:06.489,3 May 2023 15:51:54.758,288.269
6,4 May 2023 05:45:14.891,4 May 2023 05:46:20.353,65.462
7,4 May 2023 15:57:24.548,4 May 2023 16:02:15.161,290.614
8,5 May 2023 04:26:46.424,5 May 2023 04:29:38.690,172.266
9,5 May 2023 16:07:46.018,5 May 2023 16:12:34.765,288.748
10,6 May 2023 04:35:28.522,6 May 2023 04:39:58.785,270.263
11,6 May 2023 16:18:06.592,6 May 2023 16:22:52.960,286.368
12,7 May 2023 04:45:33.451,7 May 2023 04:50:18.374,284.923

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 17:46:08.317,1 May 2023 17:46:59.646,51.329
2,2 May 2023 07:40:23.758,2 May 2023 07:45:12.686,288.928
3,2 May 2023 17:54:52.005,2 May 2023 17:57:30.074,158.070
4,3 May 2023 07:50:44.867,3 May 2023 07:55:03.674,258.807
5,3 May 2023 18:03:24.792,3 May 2023 18:07:52.147,267.355
6,4 May 2023 08:01:06.816,4 May 2023 08:03:29.440,142.624
7,4 May 2023 18:13:23.157,4 May 2023 18:18:13.397,290.240
8,5 May 2023 06:44:52.842,5 May 2023 06:45:16.565,23.722
9,5 May 2023 08:11:41.636,5 May 2023 08:12:16.244,34.608
10,5 May 2023 18:23:43.696,5 May 2023 18:28:33.795,290.099
11,6 May 2023 06:52:23.814,6 May 2023 06:55:58.637,214.824
12,6 May 2023 18:34:05.129,6 May 2023 18:38:53.421,288.292
13,7 May 2023 07:01:41.545,7 May 2023 07:06:17.785,276.239

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 18:27:41.277,1 May 2023 18:32:30.618,289.340
2,2 May 2023 06:55:35.522,2 May 2023 06:59:55.094,259.572
3,2 May 2023 18:38:02.336,2 May 2023 18:42:49.923,287.587
4,3 May 2023 07:05:32.557,3 May 2023 07:10:14.544,281.987
5,3 May 2023 18:48:22.527,3 May 2023 18:53:03.197,280.670
6,4 May 2023 07:15:47.536,4 May 2023 07:20:34.865,287.329
7,4 May 2023 18:58:41.851,4 May 2023 19:02:52.375,250.524
8,5 May 2023 07:26:06.711,5 May 2023 07:30:56.062,289.352
9,5 May 2023 19:09:10.844,5 May 2023 19:10:33.613,82.769
10,6 May 2023 07:36:26.668,6 May 2023 07:41:17.996,291.328
11,6 May 2023 17:51:36.273,6 May 2023 17:53:31.621,115.348
12,7 May 2023 07:46:47.452,7 May 2023 07:51:24.649,277.197

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 10:13:56.590,1 May 2023 10:17:56.738,240.148
2,1 May 2023 11:49:10.097,1 May 2023 11:52:31.003,200.906
3,1 May 2023 13:23:34.212,1 May 2023 13:26:53.289,199.077
4,1 May 2023 14:58:04.522,1 May 2023 15:01:58.116,233.595
5,1 May 2023 16:33:46.354,1 May 2023 16:34:22.113,35.759
6,2 May 2023 08:49:05.235,2 May 2023 08:51:11.335,126.100
7,2 May 2023 10:22:43.969,2 May 2023 10:26:25.050,221.081
8,2 May 2023 11:57:32.511,2 May 2023 12:00:48.921,196.410
9,2 May 2023 13:31:52.869,2 May 2023 13:35:19.595,206.726
10,2 May 2023 15:06:38.855,2 May 2023 15:10:38.165,239.310
11,3 May 2023 08:56:04.829,3 May 2023 08:59:59.047,234.218
12,3 May 2023 10:31:19.431,3 May 2023 10:34:47.324,207.893
13,3 May 2023 12:05:51.507,3 May 2023 12:09:07.665,196.159
14,3 May 2023 13:40:14.629,3 May 2023 13:43:53.964,219.335
15,3 May 2023 15:15:24.989,3 May 2023 15:17:44.499,139.509
16,4 May 2023 09:04:38.587,4 May 2023 09:08:34.510,235.924
